time,temp,salt
2010-04-22 25:00:00,   21.173924,    0.604604
2010-04-23 25:00:00,   20.798782,    0.604979
2010-04-24 25:00:00,   20.647444,    0.605401
2010-04-25 25:00:00,   20.510376,    0.605796
2010-04-26 25:00:00,   20.519972,    0.606249
2010-04-27 25:00:00,   20.370267,    0.606381
2010-04-28 25:00:00,   20.630699,    0.606899
2010-04-29 25:00:00,   20.286144,    0.607046
2010-04-30 25:00:00,   20.359190,    0.607385
2010-05-01 25:00:00,   19.914205,    0.607342
2010-05-02 25:00:00,   19.979673,    0.607952
2010-05-03 25:00:00,   19.610810,    0.608583
2010-05-04 25:00:00,   19.425032,    0.609481
2010-05-05 25:00:00,   19.400765,    0.609889
2010-05-06 25:00:00,   19.306024,    0.610515
2010-05-07 25:00:00,   19.260449,    0.610615
2010-05-08 25:00:00,   19.250548,    0.610881
2010-05-09 25:00:00,   18.937236,    0.611455
2010-05-10 25:00:00,   18.615566,    0.612430
2010-05-11 25:00:00,   18.578689,    0.615748
2010-05-12 25:00:00,   18.765673,    0.617438
2010-05-13 25:00:00,   17.953474,    0.616311
2010-05-14 25:00:00,   17.765775,    0.620927
2010-05-15 25:00:00,   17.814236,    0.623778
2010-05-16 25:00:00,   17.620016,    0.624361
2010-05-17 25:00:00,   17.637833,    0.627235
2010-05-18 25:00:00,   17.368526,    0.633146
2010-05-19 25:00:00,   17.992049,    0.644430
2010-05-20 25:00:00,   18.458137,    0.644742
2010-05-21 25:00:00,   17.549652,    0.644735
2010-05-22 25:00:00,   17.618509,    0.634219
2010-05-23 25:00:00,   17.137612,    0.651627
2010-05-24 25:00:00,   17.277712,    0.649209
2010-05-25 25:00:00,   17.038175,    0.649709
2010-05-26 25:00:00,   16.826382,    0.646914
2010-05-27 25:00:00,   16.637431,    0.644330
2010-05-28 25:00:00,   17.082891,    0.644899
2010-05-29 25:00:00,   16.615455,    0.645090
2010-05-30 25:00:00,   17.022586,    0.645602
2010-05-31 25:00:00,   16.791313,    0.639619
2010-06-01 25:00:00,   16.851164,    0.645135
2010-06-02 25:00:00,   16.745220,    0.645385
2010-06-03 25:00:00,   16.940483,    0.645880
2010-06-04 25:00:00,   16.197039,    0.645830
2010-06-05 25:00:00,   16.292372,    0.646096
2010-06-06 25:00:00,   16.713270,    0.646694
2010-06-07 25:00:00,   16.373102,    0.646864
2010-06-08 25:00:00,   15.864260,    0.647039
2010-06-09 25:00:00,   15.608029,    0.647578
2010-06-10 25:00:00,   15.797135,    0.648054
2010-06-11 25:00:00,   15.273522,    0.648338
2010-06-12 25:00:00,   15.691120,    0.648870
2010-06-13 25:00:00,   15.293116,    0.648985
2010-06-14 25:00:00,   15.516016,    0.640849
2010-06-15 25:00:00,   15.145023,    0.635557
2010-06-16 25:00:00,   15.543836,    0.638025
2010-06-17 25:00:00,   15.263163,    0.637742
2010-06-18 25:00:00,   15.810298,    0.637838
2010-06-19 25:00:00,   16.009323,    0.638306
2010-06-20 25:00:00,   15.828486,    0.638587
2010-06-21 25:00:00,   15.978046,    0.638639
2010-06-22 25:00:00,   15.604532,    0.638611
2010-06-23 25:00:00,   15.267380,    0.632062
2010-06-24 25:00:00,   15.143680,    0.633918
2010-06-25 25:00:00,   15.013226,    0.634187
2010-06-26 25:00:00,   14.789059,    0.634622
2010-06-27 25:00:00,   14.311811,    0.633395
2010-06-28 25:00:00,   14.602986,    0.633900
2010-06-29 25:00:00,   14.230705,    0.633942
2010-06-30 25:00:00,   14.174434,    0.634355
2010-07-01 25:00:00,   14.001155,    0.634621
2010-07-02 25:00:00,   13.945623,    0.630988
2010-07-03 25:00:00,   13.893258,    0.631188
2010-07-04 25:00:00,   13.790526,    0.631468
2010-07-05 25:00:00,   13.942485,    0.631687
2010-07-06 25:00:00,   13.667837,    0.631894
2010-07-07 25:00:00,   13.458075,    0.632067
2010-07-08 25:00:00,   13.208787,    0.627362
2010-07-09 25:00:00,   12.821343,    0.624425
2010-07-10 25:00:00,   12.824225,    0.621247
2010-07-11 25:00:00,   12.941702,    0.617815
2010-07-12 25:00:00,   12.681823,    0.616220
2010-07-13 25:00:00,   13.014371,    0.615543
2010-07-14 25:00:00,   13.437486,    0.615361
2010-07-15 25:00:00,   12.840727,    0.616158
2010-07-16 25:00:00,   12.768176,    0.614340
2010-07-17 25:00:00,   12.899872,    0.614033
2010-07-18 25:00:00,   13.261744,    0.613441
2010-07-19 25:00:00,   13.361837,    0.614315
2010-07-20 25:00:00,   13.382212,    0.614698
2010-07-21 25:00:00,   13.650014,    0.614900
2010-07-22 25:00:00,   13.714261,    0.615178
2010-07-23 25:00:00,   13.795211,    0.615464
2010-07-24 25:00:00,   13.231741,    0.615556
2010-07-25 25:00:00,   13.051953,    0.615709
2010-07-26 25:00:00,   13.411391,    0.615190
2010-07-27 25:00:00,   13.888625,    0.613522
2010-07-28 25:00:00,   13.937048,    0.612554
2010-07-29 25:00:00,   13.691170,    0.611422
2010-07-30 25:00:00,   13.744378,    0.611605
2010-07-31 25:00:00,   14.485815,    0.611626
2010-08-01 25:00:00,   14.679639,    0.611855
2010-08-02 25:00:00,   14.775311,    0.612371
2010-08-03 25:00:00,   15.106058,    0.612697
2010-08-04 25:00:00,   15.378902,    0.613035
2010-08-05 25:00:00,   15.191546,    0.613011
2010-08-06 25:00:00,   15.274197,    0.613681
2010-08-07 25:00:00,   15.343936,    0.614037
2010-08-08 25:00:00,   15.011368,    0.614346
2010-08-09 25:00:00,   14.830419,    0.614465
2010-08-10 25:00:00,   14.227917,    0.614485
2010-08-11 25:00:00,   13.652824,    0.614336
2010-08-12 25:00:00,   13.667559,    0.604473
2010-08-13 25:00:00,   13.816061,    0.599501
2010-08-14 25:00:00,   14.624146,    0.595220
2010-08-15 25:00:00,   14.914255,    0.595750
2010-08-16 25:00:00,   14.275227,    0.595624
2010-08-17 25:00:00,   14.059690,    0.594624
2010-08-18 25:00:00,   13.756747,    0.594129
2010-08-19 25:00:00,   14.542352,    0.595209
2010-08-20 25:00:00,   14.120034,    0.588992
2010-08-21 25:00:00,   14.474438,    0.587840
2010-08-22 25:00:00,   14.688912,    0.586636
2010-08-23 25:00:00,   15.277265,    0.587106
2010-08-24 25:00:00,   15.253926,    0.587258
2010-08-25 25:00:00,   15.268487,    0.587816
2010-08-26 25:00:00,   15.655998,    0.588400
2010-08-27 25:00:00,   16.172513,    0.589028
2010-08-28 25:00:00,   16.360095,    0.588968
2010-08-29 25:00:00,   17.499774,    0.589868
2010-08-30 25:00:00,   17.294106,    0.590022
2010-08-31 25:00:00,   16.020752,    0.579986
2010-09-01 25:00:00,   15.518801,    0.582061
2010-09-02 25:00:00,   15.233928,    0.584006
2010-09-03 25:00:00,   16.328732,    0.584342
2010-09-04 25:00:00,   17.400490,    0.583832
2010-09-05 25:00:00,   17.659528,    0.584740
2010-09-06 25:00:00,   18.057991,    0.585292
2010-09-07 25:00:00,   16.746059,    0.575841
2010-09-08 25:00:00,   16.045126,    0.576158
2010-09-09 25:00:00,   16.117328,    0.575420
2010-09-10 25:00:00,   16.804459,    0.576031
2010-09-11 25:00:00,   15.996809,    0.577780
2010-09-12 25:00:00,   15.909564,    0.575200
2010-09-13 25:00:00,   16.283494,    0.575998
2010-09-14 25:00:00,   16.648786,    0.576589
2010-09-15 25:00:00,   16.239440,    0.579494
2010-09-16 25:00:00,   16.717294,    0.580824
2010-09-17 25:00:00,   17.378250,    0.581691
2010-09-18 25:00:00,   16.389711,    0.582207
2010-09-19 25:00:00,   17.061524,    0.582601
2010-09-20 25:00:00,   17.867257,    0.583385
2010-09-21 25:00:00,   18.500471,    0.584503
2010-09-22 25:00:00,   19.088608,    0.585341
2010-09-23 25:00:00,   20.001731,    0.586286
2010-09-24 25:00:00,   20.512651,    0.586791
2010-09-25 25:00:00,   20.900104,    0.587402
2010-09-26 25:00:00,   20.742356,    0.588447
2010-09-27 25:00:00,   20.753083,    0.588707
2010-09-28 25:00:00,   21.120647,    0.590288
2010-09-29 25:00:00,   20.826614,    0.591299
2010-09-30 25:00:00,   20.636315,    0.592521
2010-10-01 25:00:00,   21.207663,    0.592444
2010-10-02 25:00:00,   20.657317,    0.593147
2010-10-03 25:00:00,   21.678807,    0.594158
2010-10-04 25:00:00,   21.741725,    0.595001
2010-10-05 25:00:00,   20.694037,    0.595491
2010-10-06 25:00:00,   20.508913,    0.595903
2010-10-07 25:00:00,   20.742292,    0.596630
2010-10-08 25:00:00,   21.952315,    0.598228
2010-10-09 25:00:00,   22.369833,    0.599132
2010-10-10 25:00:00,   20.388508,    0.600072
2010-10-11 25:00:00,   20.309404,    0.601374
2010-10-12 25:00:00,   20.415167,    0.602297
2010-10-13 25:00:00,   20.328321,    0.602375
2010-10-14 25:00:00,   20.108637,    0.603682
2010-10-15 25:00:00,   20.174207,    0.604325
2010-10-16 25:00:00,   20.148248,    0.604680
2010-10-17 25:00:00,   21.157972,    0.605675
2010-10-18 25:00:00,   22.388370,    0.607004
2010-10-19 25:00:00,   24.121779,    0.607913
2010-10-20 25:00:00,   21.498818,    0.601594
2010-10-21 25:00:00,   21.458423,    0.603415
2010-10-22 25:00:00,   21.745635,    0.605142
2010-10-23 25:00:00,   21.603010,    0.606184
2010-10-24 25:00:00,   21.573594,    0.607730
2010-10-25 25:00:00,   21.910739,    0.608787
2010-10-26 25:00:00,   22.700354,    0.609846
2010-10-27 25:00:00,   21.900360,    0.611164
2010-10-28 25:00:00,   20.755621,    0.612144
2010-10-29 25:00:00,   21.020696,    0.612946
2010-10-30 25:00:00,   21.484647,    0.613784
2010-10-31 25:00:00,   21.930291,    0.615456
2010-11-01 25:00:00,   22.331330,    0.617364
2010-11-02 25:00:00,   22.994377,    0.619303
2010-11-03 25:00:00,   24.339268,    0.621174
2010-11-04 25:00:00,   23.213054,    0.622679
2010-11-05 25:00:00,   22.733020,    0.622818
2010-11-06 25:00:00,   23.180021,    0.624088
2010-11-07 25:00:00,   22.829513,    0.625311
2010-11-08 25:00:00,   24.241863,    0.626642
2010-11-09 25:00:00,   23.675359,    0.627291
2010-11-10 25:00:00,   22.762509,    0.625912
2010-11-11 25:00:00,   22.283934,    0.626331
2010-11-12 25:00:00,   21.883136,    0.627881
2010-11-13 25:00:00,   21.856136,    0.627677
2010-11-14 25:00:00,   21.871006,    0.628142
2010-11-15 25:00:00,   22.268933,    0.628555
2010-11-16 25:00:00,   23.144062,    0.630321
2010-11-17 25:00:00,   24.128571,    0.632223
2010-11-18 25:00:00,   24.705273,    0.633768
2010-11-19 25:00:00,   25.241862,    0.636043
2010-11-20 25:00:00,   25.845211,    0.637427
2010-11-21 25:00:00,   25.821798,    0.637063
2010-11-22 25:00:00,   25.461410,    0.639399
2010-11-23 25:00:00,   24.533206,    0.640672
2010-11-24 25:00:00,   24.697556,    0.642080
2010-11-25 25:00:00,   24.637821,    0.643978
2010-11-26 25:00:00,   24.882867,    0.646383
2010-11-27 25:00:00,   24.513404,    0.645811
2010-11-28 25:00:00,   25.163756,    0.648511
2010-11-29 25:00:00,   25.726874,    0.651731
2010-11-30 25:00:00,   25.966099,    0.652901
2010-12-01 25:00:00,   24.028204,    0.653116
2010-12-02 25:00:00,   23.274539,    0.652827
2010-12-03 25:00:00,   22.913972,    0.653338
2010-12-04 25:00:00,   23.534861,    0.654088
2010-12-05 25:00:00,   23.067960,    0.653807
2010-12-06 25:00:00,   22.336557,    0.653568
2010-12-07 25:00:00,   23.096580,    0.652131
2010-12-08 25:00:00,   22.795029,    0.653586
2010-12-09 25:00:00,   22.739284,    0.652795
2010-12-10 25:00:00,   23.285898,    0.654245
2010-12-11 25:00:00,   23.786779,    0.655240
2010-12-12 25:00:00,   24.916899,    0.656885
2010-12-13 25:00:00,   24.336529,    0.658847
2010-12-14 25:00:00,   24.041424,    0.660756
2010-12-15 25:00:00,   24.194336,    0.661240
2010-12-16 25:00:00,   24.055279,    0.658766
2010-12-17 25:00:00,   24.664634,    0.660926
2010-12-18 25:00:00,   24.827253,    0.662672
2010-12-19 25:00:00,   24.297043,    0.663621
2010-12-20 25:00:00,   22.310746,    0.659473
2010-12-21 25:00:00,   22.584485,    0.660278
2010-12-22 25:00:00,   22.584946,    0.660551
2010-12-23 25:00:00,   23.620740,    0.661492
2010-12-24 25:00:00,   26.205158,    0.661951
2010-12-25 25:00:00,   27.392564,    0.664095
2010-12-26 25:00:00,   27.192487,    0.667359
2010-12-27 25:00:00,   27.059716,    0.669724
2010-12-28 25:00:00,   26.662105,    0.671845
2010-12-29 25:00:00,   26.799156,    0.674111
2010-12-30 25:00:00,   26.809997,    0.675679
2010-12-31 25:00:00,   26.229920,    0.677494
2011-01-01 25:00:00,   26.350707,    0.677707
2011-01-02 25:00:00,   27.361061,    0.679185
2011-01-03 25:00:00,   27.307318,    0.679144
2011-01-04 25:00:00,   28.444742,    0.679998
2011-01-05 25:00:00,   27.722612,    0.670983
2011-01-06 25:00:00,   27.653774,    0.673932
2011-01-07 25:00:00,   27.088700,    0.675629
2011-01-08 25:00:00,   27.207836,    0.677063
2011-01-09 25:00:00,   27.623911,    0.678656
2011-01-10 25:00:00,   27.808987,    0.681094
2011-01-11 25:00:00,   28.056578,    0.683102
2011-01-12 25:00:00,   27.804406,    0.684614
2011-01-13 25:00:00,   27.734209,    0.686580
2011-01-14 25:00:00,   26.986626,    0.688113
2011-01-15 25:00:00,   26.456689,    0.688372
2011-01-16 25:00:00,   26.754510,    0.689649
2011-01-17 25:00:00,   27.165594,    0.691635
2011-01-18 25:00:00,   27.381914,    0.693340
2011-01-19 25:00:00,   27.183141,    0.695065
2011-01-20 25:00:00,   26.768988,    0.695505
2011-01-21 25:00:00,   26.312072,    0.695846
2011-01-22 25:00:00,   26.179397,    0.696650
2011-01-23 25:00:00,   25.859402,    0.696658
2011-01-24 25:00:00,   24.342663,    0.687478
2011-01-25 25:00:00,   24.969293,    0.689449
