Sites,Lat,Lon
0c,-32.2829,115.712506
1,-32.282968,115.712808
2,-32.283999,115.713164
3,-32.284976,115.713632
4,-32.285508,115.714326
5,-32.286438,115.714943
6,-32.287205,115.715995
7a,-32.287931,115.716833
7b,-32.288345,115.716969
8a,-32.28854,115.71747
8b,-32.288707,115.71772
