time,uwnd10m,vwnd10m,mslp,downward_longwave,downward_shortwave,air_temp_2m,precip_rate,relhum
2004-10-01 11:00:00,-0.6875,1.1561177,101992.0,388.81744,228.24298,289.27734,0.0,53.417263
2004-10-01 12:00:00,1.4375,1.3437059,101971.0,359.43298,533.1683,289.7226,0.0,52.063076
2004-10-01 13:00:00,2.8125,1.96875,101947.0,330.6435,755.4059,290.30853,0.0,50.298157
2004-10-01 14:00:00,2.875,2.7343793,101925.5,320.62808,729.2361,290.63272,0.0,48.646397
2004-10-01 15:00:00,2.375,2.9843793,101911.25,322.5149,557.06006,290.40228,0.0,49.042427
2004-10-01 16:00:00,1.9375,3.0937588,101901.0,328.28876,326.53143,289.93744,0.0,50.075027
2004-10-01 17:00:00,1.5,2.921897,101908.5,326.5666,133.2418,289.2148,0.0,52.914726
2004-10-01 18:00:00,1.25,2.6406736,101922.75,317.4068,48.47237,288.52344,0.0,52.686844
2004-10-01 19:00:00,1.5,2.640709,101952.5,319.43793,1.3476496,288.1211,0.0,57.157024
2004-10-01 20:00:00,1.5,2.8438737,102003.5,329.32477,0.0,287.82422,0.0,56.74387
2004-10-01 21:00:00,0.75,2.8438737,102035.5,342.23532,0.0,287.62503,0.0,56.984215
2004-10-01 22:00:00,1.125,2.6094413,102039.5,348.35895,0.0,287.72656,0.0,57.22615
2004-10-01 23:00:00,0.3125,1.4218882,102047.5,345.7414,0.0,286.38293,0.0,62.106754
2004-10-02 00:00:00,-1.25,0.50002646,102039.0,317.42682,0.0,284.297,0.0,74.61916
2004-10-02 01:00:00,-1.125,0.8594235,101997.0,301.3274,0.0,283.36722,0.0,77.48972
2004-10-02 02:00:00,-1.25,1.0625529,101974.5,310.90997,0.0,282.80865,0.0,80.14209
2004-10-02 03:00:00,-1.5,0.92194116,101979.25,293.07584,0.0,282.2696,0.0,81.946075
2004-10-02 04:00:00,-1.75,0.6094324,101984.75,275.84027,0.0,281.65628,0.0,84.452614
2004-10-02 05:00:00,-1.875,0.32816473,101960.75,306.76544,0.015625,281.164,0.0,83.93969
2004-10-02 06:00:00,-1.8125,0.2344059,101937.0,339.7107,20.070349,281.22253,0.0,84.655365
2004-10-02 07:00:00,-1.875,0.34375882,101933.75,326.84772,139.81673,282.30853,0.0,77.55264
