time,uwnd10m,vwnd10m,mslp,downward_longwave,downward_shortwave,air_temp_2m,precip_rate,relhum
2009-10-01 03:00:00,2.5,-1.4373939,102290.5,301.81223,929.85156,289.26556,0.0,45.007442
2009-10-01 04:00:00,3.0,-0.6249469,102277.5,305.4528,936.6797,289.703,0.0,45.752895
2009-10-01 05:00:00,3.25,0.25002655,102258.25,308.53476,908.957,290.10144,0.0,46.619812
2009-10-01 06:00:00,3.1875,1.15625,102235.25,309.92535,814.93744,290.42563,0.0,46.170544
2009-10-01 07:00:00,3.0625,1.7968706,102217.75,309.45264,662.125,290.58972,0.0,45.471813
2009-10-01 08:00:00,2.875,2.421906,102205.5,307.92926,463.26175,290.48425,0.0,45.900047
2009-10-01 09:00:00,2.3125,2.875044,102167.5,306.14813,241.83206,290.05853,0.0,48.76274
2009-10-01 10:00:00,1.25,3.0312853,102143.25,303.48422,66.11328,289.3984,0.0,53.72288
2009-10-01 11:00:00,0.1875,2.8906646,102178.75,300.57416,1.4453125,288.67188,0.0,56.975098
2009-10-01 12:00:00,-0.6875,2.234397,102229.5,297.5274,0.0,287.68753,0.0,65.130035
2009-10-01 13:00:00,-1.1875,1.71875,102254.0,294.58606,0.0,286.4805,0.0,71.303925
2009-10-01 14:00:00,-1.1875,1.5000176,102250.0,293.75397,0.0,285.44534,0.0,77.69234
2009-10-01 15:00:00,-0.8125,1.2969147,102229.75,293.5702,0.0,284.10547,0.0,85.92719
2009-10-01 16:00:00,-0.3125,1.1250794,102193.5,293.23022,0.0,282.88666,0.0,88.16428
2009-10-01 17:00:00,-0.25,0.9688648,102160.0,291.62878,0.0,282.35547,0.0,93.18551
2009-10-01 18:00:00,-0.5625,0.81259716,102130.25,289.3867,0.0,282.04297,0.0,95.221504
2009-10-01 19:00:00,-0.75,0.7500529,102099.0,288.38275,0.0,281.71872,0.0,97.17759
2009-10-01 20:00:00,-0.8125,0.56252646,102079.0,288.93784,0.0,281.4921,0.0,99.312706
2009-10-01 21:00:00,-1.0,-0.12492934,102064.25,288.30133,0.0078125,281.05856,0.001954229,100.88077
2009-10-01 22:00:00,-1.125,-0.7030411,102066.0,294.0045,32.960667,280.73053,0.0,97.96484
2009-10-01 23:00:00,-1.25,-0.7187323,102084.5,302.37152,162.74988,281.61334,0.0,94.75091
2009-10-02 00:00:00,-1.375,-0.8125,102100.0,302.9652,379.499,284.3828,0.0,74.836426
2009-10-02 01:00:00,-0.875,-1.265647,102103.0,323.64148,502.17487,287.48825,0.0,67.99967
2009-10-02 02:00:00,-0.0625,-2.062553,102100.75,347.74182,545.9149,289.09372,0.0,64.21273
2009-10-02 03:00:00,0.125,-2.3593707,102102.0,345.578,715.0626,290.10934,0.0,64.91227
2009-10-02 04:00:00,0.625,-2.156197,102096.5,355.85245,725.18274,291.0117,0.0,62.933678
2009-10-02 05:00:00,2.4375,-1.6405764,102079.0,353.83185,693.4874,291.8672,0.0,57.74715
2009-10-02 06:00:00,3.5,-1.140594,102054.5,340.18304,711.6952,292.332,0.0,49.941727
2009-10-02 07:00:00,3.5,-1.1562412,102044.0,360.1599,465.72223,292.14447,0.0,52.184658
2009-10-02 08:00:00,3.75,-0.73436177,102046.5,368.10117,245.73819,291.6601,0.0,60.391422
2009-10-02 09:00:00,3.8125,-0.5781294,102018.75,361.1045,135.1735,291.11322,0.0,61.62793
2009-10-02 10:00:00,3.9375,-0.92188823,102004.25,360.83133,34.414875,290.6679,0.0,68.2629
2009-10-02 11:00:00,4.25,-0.49997354,102033.0,348.51898,1.0273415,290.33984,0.0,68.443054
2009-10-02 12:00:00,4.0625,0.062526494,102052.5,336.01144,0.0,290.125,0.0,66.28328
2009-10-02 13:00:00,3.625,0.35938823,102060.5,330.77722,0.0,289.9883,0.0,67.8414
2009-10-02 14:00:00,3.0625,0.07812941,102049.25,328.90204,0.0,289.85944,0.0,67.831764
2009-10-02 15:00:00,2.5,0.12502646,102052.75,354.98444,0.0,289.7696,0.0,71.664986
2009-10-02 16:00:00,2.6875,0.81257063,102058.75,379.4923,0.0,289.88678,0.0,73.93955
2009-10-02 17:00:00,3.1875,0.8438118,102033.0,376.03503,0.0,290.0313,0.0,75.20924
2009-10-02 18:00:00,3.25,1.2032089,102013.75,366.5705,0.0,290.0235,0.0,77.55474
2009-10-02 19:00:00,2.375,3.2032351,102026.0,365.48853,0.0,289.56644,0.0,82.574684
2009-10-02 20:00:00,1.0625,4.875106,102068.75,362.4804,0.0,288.87503,0.0,80.132965
2009-10-02 21:00:00,-0.125,4.062606,102099.25,366.05865,0.0,288.0938,0.0,78.302795
2009-10-02 22:00:00,-1.0625,3.140647,102130.25,374.4416,7.1676617,287.25397,0.0,82.45573
2009-10-02 23:00:00,-1.3125,3.3749824,102181.5,357.62573,86.78291,286.90628,0.0,75.58574
2009-10-03 00:00:00,-1.125,3.5781293,102232.25,333.04364,290.62616,287.36328,0.0,65.35364
2009-10-03 01:00:00,-0.625,3.78125,102269.5,323.26166,514.28143,288.52734,0.0,60.11367
2009-10-03 02:00:00,0.0,3.8593793,102298.75,324.02264,680.75916,289.60547,0.0,55.102184
2009-10-03 03:00:00,0.3125,3.6249824,102351.75,330.30823,756.3768,290.1328,0.0,52.495445
2009-10-03 04:00:00,0.75,3.8124914,102383.75,334.16785,773.992,290.5742,0.0,47.40106
2009-10-03 05:00:00,1.5625,3.7656384,102376.25,321.30807,819.0257,290.96088,0.0,42.92461
2009-10-03 06:00:00,1.9375,3.4531207,102373.25,311.39044,782.14075,291.06635,0.0,44.533928
2009-10-03 07:00:00,1.875,3.4843616,102368.0,309.82404,631.1642,290.9726,0.0,42.35892
2009-10-03 08:00:00,1.8125,3.7187588,102360.75,306.6834,440.26166,290.55463,0.0,48.363678
2009-10-03 09:00:00,1.6875,4.1406736,102330.75,303.6405,228.24998,289.80072,0.0,49.35375
2009-10-03 10:00:00,1.5,4.3907003,102301.75,299.01157,62.750008,289.0078,0.0,53.93765
2009-10-03 11:00:00,1.0,4.17195,102319.25,293.92175,1.8164085,288.47266,0.0,56.756695
2009-10-03 12:00:00,0.375,3.8281913,102359.5,291.35153,0.0,288.13672,0.0,57.068737
2009-10-03 13:00:00,-0.3125,3.203253,102398.5,290.8556,0.0,287.55865,0.0,58.824547
2009-10-03 14:00:00,-1.0,2.4376059,102434.75,290.97287,0.0,286.3204,0.0,72.01506
2009-10-03 15:00:00,-1.125,2.140647,102468.75,290.29736,0.0,284.83597,0.0,76.36767
2009-10-03 16:00:00,-0.875,2.3594236,102473.25,289.02017,0.0,284.09772,0.0,76.22549
2009-10-03 17:00:00,-0.75,2.6719236,102459.5,293.08658,0.0,283.94543,0.0,77.291084
2009-10-03 18:00:00,-0.8125,2.7656646,102452.75,297.661,0.0,283.81262,0.0,80.52101
2009-10-03 19:00:00,-0.9375,2.8281646,102451.75,292.01648,0.0,283.6017,0.0,80.319244
2009-10-03 20:00:00,-1.0625,2.656294,102451.5,284.6295,0.0,283.06262,0.0,81.109566
2009-10-03 21:00:00,-0.9375,2.3594499,102444.25,305.38712,0.0546875,282.58212,0.0,81.72327
2009-10-03 22:00:00,-0.75,2.0469499,102447.25,323.1959,31.202917,282.3946,0.0,79.78092
2009-10-03 23:00:00,-0.75,1.7500353,102458.75,312.71948,152.79234,282.73444,0.0,78.61185
2009-10-04 00:00:00,-0.5625,1.4375176,102461.75,295.73108,385.68622,283.93753,0.0,71.060684
2009-10-04 01:00:00,0.125,1.21875,102463.25,286.92606,629.08887,285.70703,0.0,61.93032
2009-10-04 02:00:00,1.4375,1.4687235,102455.75,294.53885,793.1132,287.5585,0.0,56.066612
2009-10-04 03:00:00,2.625,2.671844,102439.25,308.2613,876.08997,289.7147,0.0,50.352882
