// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:1980/01/04 20:46:34
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=num2

PreHeat=1000
Interval=200
SampleCnt=61

StartTime=1980/01/04 20:46:34
EndTime=1980/01/04 20:48:01

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=-0.009
StartDepthA=0.221038885494026
StartDepthB=0.2197829564618

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
4/01/1980 8:46:34 PM,0.228,23.351,0.528,1.033,1071.9,997.858,0.000,2.509,2.509,7.260,9.053,29.444,103.157,8.746,1499.194,0,
4/01/1980 8:46:34 PM,0.226,23.347,0.528,1.033,1072.1,997.859,0.000,2.524,2.524,6.934,9.053,29.520,103.071,8.738,1521.716,0,
4/01/1980 8:46:34 PM,0.226,23.345,0.528,1.033,1072.1,997.860,0.000,2.532,2.532,6.697,9.053,29.406,103.026,8.735,1512.895,0,
4/01/1980 8:46:34 PM,0.228,23.344,0.528,1.033,1071.9,997.860,0.000,2.382,2.382,7.363,9.053,29.482,103.077,8.739,1501.446,0,
4/01/1980 8:46:35 PM,0.228,23.346,0.528,1.033,1071.7,997.859,0.000,2.547,2.547,7.675,9.055,29.329,103.072,8.739,1514.115,0,
4/01/1980 8:46:35 PM,0.232,23.347,0.528,1.033,1071.8,997.859,0.000,2.509,2.509,7.526,9.055,29.406,103.165,8.747,1500.695,0,
4/01/1980 8:46:35 PM,0.236,23.350,0.528,1.033,1071.7,997.858,0.000,2.584,2.584,6.830,9.055,29.444,103.117,8.742,1501.634,0,
4/01/1980 8:46:35 PM,0.239,23.354,0.528,1.033,1071.7,997.857,0.000,2.524,2.524,7.230,9.055,29.558,103.105,8.741,1501.915,0,
4/01/1980 8:46:35 PM,0.249,23.357,0.528,1.033,1071.8,997.857,0.000,2.509,2.509,7.689,9.055,29.596,103.092,8.740,1457.435,0,
4/01/1980 8:46:36 PM,0.260,23.351,0.528,1.033,1071.9,997.858,0.000,2.554,2.554,7.467,9.054,29.749,103.073,8.738,1202.095,0,
4/01/1980 8:46:36 PM,0.278,23.347,0.528,1.033,1072.0,997.859,0.000,2.389,2.389,6.978,9.053,29.787,103.019,8.733,1143.070,0,
4/01/1980 8:46:36 PM,0.312,23.346,0.529,1.033,1072.1,997.860,0.000,2.472,2.472,6.889,9.052,29.863,103.026,8.734,1116.419,0,
4/01/1980 8:46:36 PM,0.356,23.349,0.528,1.033,1071.8,997.859,0.000,2.577,2.577,6.993,9.052,30.054,103.075,8.738,1018.825,0,
4/01/1980 8:46:36 PM,0.404,23.341,0.528,1.033,1072.1,997.861,0.000,2.389,2.389,7.423,9.050,30.283,103.054,8.737,915.694,0,
4/01/1980 8:46:37 PM,0.459,23.335,0.529,1.033,1072.3,997.863,0.000,2.329,2.329,7.052,9.049,30.397,102.976,8.731,809.749,0,
4/01/1980 8:46:37 PM,0.522,23.330,0.528,1.032,1071.7,997.864,0.000,2.689,2.689,8.727,9.047,30.550,103.113,8.744,722.289,0,
4/01/1980 8:46:37 PM,0.587,23.303,0.528,1.032,1072.0,997.871,0.000,2.659,2.659,7.037,9.047,30.397,103.095,8.747,705.398,0,
4/01/1980 8:46:37 PM,0.629,23.291,0.529,1.032,1072.4,997.874,0.000,2.599,2.599,7.245,9.045,30.969,103.053,8.745,759.356,0,
4/01/1980 8:46:37 PM,0.642,23.286,0.529,1.032,1072.9,997.876,0.000,2.816,2.816,7.526,9.042,31.503,103.101,8.751,686.912,0,
