// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:2024/05/01 11:12:40
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=

PreHeat=1000
Interval=200
SampleCnt=477

StartTime=2024/05/01 11:12:40
EndTime=2024/05/01 11:14:17

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.188
StartDepthA=-0.0987211005209262
StartDepthB=-0.101540126192226

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
1/05/2024 11:12:40 AM,0.000,18.677,0.605,1.064,1235.4,998.933,0.000,289.803,289.803,239.584,8.166,229.030,100.955,9.306,662.232,0,
1/05/2024 11:12:40 AM,0.000,18.588,0.553,0.973,1132.4,998.910,0.000,485.837,485.837,978.323,8.166,229.145,100.912,9.309,663.170,0,
1/05/2024 11:12:40 AM,0.000,18.506,0.534,0.940,1096.5,998.911,0.000,485.837,485.837,825.432,8.165,229.335,100.701,9.291,655.194,0,
1/05/2024 11:12:41 AM,0.000,18.863,36.930,49.056,56713.2,1026.532,26.532,418.665,418.665,491.218,8.166,228.916,100.940,7.488,670.396,0,
1/05/2024 11:12:41 AM,0.000,19.097,36.731,49.067,56391.1,1026.320,26.320,115.431,115.431,107.788,8.166,228.802,100.985,7.495,637.082,0,
1/05/2024 11:12:41 AM,0.000,19.147,36.684,49.065,56316.6,1026.271,26.271,31.758,31.758,26.417,8.167,228.763,101.040,7.500,651.721,0,
1/05/2024 11:12:41 AM,0.000,19.159,36.678,49.070,56305.4,1026.263,26.263,6.269,6.269,4.728,8.167,228.725,101.005,7.498,648.249,0,
1/05/2024 11:12:41 AM,0.000,19.160,36.670,49.062,56294.7,1026.257,26.257,3.078,3.078,2.333,8.167,228.725,101.054,7.501,645.809,0,
1/05/2024 11:12:42 AM,0.000,19.160,36.675,49.067,56300.4,1026.260,26.260,2.105,2.105,1.594,8.167,228.725,101.074,7.503,614.561,0,
1/05/2024 11:12:42 AM,0.000,19.161,36.700,49.098,56334.7,1026.279,26.279,1.678,1.678,1.314,8.168,228.725,100.986,7.495,637.082,0,
1/05/2024 11:12:42 AM,0.000,19.162,36.668,49.062,56291.3,1026.255,26.255,1.476,1.476,1.196,8.168,228.725,100.965,7.495,628.449,0,
1/05/2024 11:12:42 AM,0.000,19.163,36.674,49.069,56298.8,1026.259,26.259,1.423,1.423,0.974,8.168,228.725,100.978,7.496,653.692,0,
1/05/2024 11:12:42 AM,0.000,19.162,36.675,49.070,56300.3,1026.260,26.260,1.431,1.431,1.358,8.168,228.725,100.964,7.494,627.980,0,
1/05/2024 11:12:43 AM,0.000,19.162,2.053,3.437,3943.8,999.942,0.000,58.566,58.566,0.000,8.168,228.687,100.969,9.206,665.422,0,
1/05/2024 11:12:43 AM,0.000,19.078,1.073,1.854,2132.2,999.212,0.000,135.228,135.228,41.382,8.168,228.725,100.961,9.263,639.710,0,
1/05/2024 11:12:43 AM,0.000,18.886,0.826,1.439,1662.3,999.061,0.000,485.837,485.837,280.323,8.168,228.763,100.907,9.277,667.956,0,
1/05/2024 11:12:43 AM,0.000,18.673,0.724,1.263,1467.1,999.024,0.000,239.357,239.357,90.597,8.168,228.802,100.923,9.287,639.053,0,
1/05/2024 11:12:43 AM,0.000,18.874,36.920,49.056,56696.8,1026.521,26.522,63.367,63.367,32.628,8.168,228.763,100.880,7.481,663.076,0,
1/05/2024 11:12:44 AM,0.000,19.088,36.737,49.066,56401.4,1026.327,26.327,17.295,17.295,8.134,8.168,228.763,100.903,7.488,620.379,0,
