// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:2024/05/01 14:50:19
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=stop 7

PreHeat=1000
Interval=200
SampleCnt=280

StartTime=2024/05/01 14:50:19
EndTime=2024/05/01 14:51:16

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.188
StartDepthA=-0.0224611092086047
StartDepthB=-0.0236131086800478

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
1/05/2024 2:50:19 PM,0.000,19.346,36.536,49.097,56071.9,1026.106,26.106,0.876,0.876,0.398,8.186,248.978,104.144,7.708,165.159,0,
1/05/2024 2:50:19 PM,0.000,19.347,36.534,49.095,56068.4,1026.104,26.104,0.944,0.944,0.413,8.186,248.978,104.105,7.706,165.441,0,
1/05/2024 2:50:19 PM,0.000,19.347,36.533,49.095,56068.0,1026.103,26.104,0.854,0.854,0.384,8.186,248.978,104.091,7.704,165.534,0,
1/05/2024 2:50:20 PM,0.000,19.348,36.532,49.095,56066.3,1026.102,26.103,0.771,0.771,0.325,8.186,248.978,104.054,7.702,165.910,0,
1/05/2024 2:50:20 PM,0.000,19.347,36.534,49.095,56068.3,1026.104,26.104,0.794,0.794,0.325,8.186,248.978,104.107,7.706,166.097,0,
1/05/2024 2:50:20 PM,0.000,19.345,36.535,49.096,56071.2,1026.105,26.106,0.779,0.779,0.384,8.186,248.978,104.062,7.703,166.191,0,
1/05/2024 2:50:20 PM,0.000,19.344,36.535,49.093,56070.6,1026.105,26.106,0.794,0.794,0.413,8.186,248.978,104.053,7.702,165.441,0,
1/05/2024 2:50:20 PM,0.026,19.344,36.531,49.089,56066.1,1026.103,26.103,0.786,0.786,0.398,8.187,248.978,104.061,7.703,166.097,0,
1/05/2024 2:50:21 PM,0.097,19.343,36.535,49.093,56070.8,1026.106,26.106,0.839,0.839,0.472,8.187,248.978,104.077,7.704,152.491,0,
1/05/2024 2:50:21 PM,0.129,19.345,36.534,49.093,56068.9,1026.105,26.105,0.801,0.801,0.398,8.186,248.978,104.128,7.708,108.761,0,
1/05/2024 2:50:21 PM,0.129,19.345,36.534,49.094,56070.0,1026.106,26.105,0.816,0.816,0.398,8.187,248.978,104.029,7.700,116.737,0,
1/05/2024 2:50:21 PM,0.155,19.346,36.535,49.096,56070.8,1026.106,26.106,0.831,0.831,0.398,8.187,248.978,104.074,7.704,98.439,0,
1/05/2024 2:50:21 PM,0.246,19.345,36.532,49.091,56066.5,1026.104,26.103,0.891,0.891,0.398,8.187,248.978,104.074,7.703,102.661,0,
1/05/2024 2:50:22 PM,0.372,19.346,36.531,49.091,56065.5,1026.104,26.103,0.786,0.786,0.398,8.187,248.978,104.066,7.703,103.318,0,
1/05/2024 2:50:22 PM,0.491,19.344,36.535,49.095,56071.5,1026.108,26.106,0.771,0.771,0.384,8.187,248.978,104.008,7.700,95.060,0,
1/05/2024 2:50:22 PM,0.588,19.344,36.534,49.093,56070.5,1026.108,26.105,0.764,0.764,0.369,8.187,248.978,104.076,7.705,91.494,0,
1/05/2024 2:50:22 PM,0.675,19.344,36.539,49.099,56077.2,1026.112,26.109,0.771,0.771,0.428,8.187,249.016,103.997,7.698,85.019,0,
1/05/2024 2:50:22 PM,0.693,19.345,36.539,49.100,56076.3,1026.112,26.109,0.771,0.771,0.384,8.187,248.978,103.977,7.697,82.673,0,
