// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:2025/10/18 15:32:07
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=Oct Prof 2

PreHeat=1000
Interval=200
SampleCnt=358

StartTime=2025/10/18 15:32:07
EndTime=2025/10/18 15:33:19

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.182
StartDepthA=-0.196881088654829
StartDepthB=-0.196852100867365

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
18/10/2025 3:32:07 PM,0.000,22.284,0.497,0.953,1013.0,998.084,0.000,3.475,3.475,4.092,8.883,23.646,118.325,10.242,1191.022,0,
18/10/2025 3:32:07 PM,0.000,22.292,0.497,0.953,1012.9,998.082,0.000,3.416,3.416,4.565,8.878,24.295,118.421,10.251,899.085,0,
18/10/2025 3:32:07 PM,0.000,22.289,0.497,0.952,1012.2,998.083,0.000,3.288,3.288,3.870,8.876,24.409,118.503,10.258,1087.328,0,
18/10/2025 3:32:07 PM,0.000,22.275,0.495,0.948,1008.7,998.085,0.000,3.251,3.251,4.107,8.876,24.104,118.459,10.256,1184.641,0,
18/10/2025 3:32:07 PM,0.000,22.273,0.497,0.952,1012.6,998.087,0.000,3.326,3.326,3.914,8.874,24.295,118.562,10.266,1155.269,0,
18/10/2025 3:32:08 PM,0.000,22.288,0.497,0.952,1012.1,998.083,0.000,3.236,3.236,4.151,8.868,25.630,118.391,10.248,329.661,0,
18/10/2025 3:32:08 PM,0.000,22.298,0.497,0.952,1012.2,998.081,0.000,3.333,3.333,4.107,8.864,25.515,118.339,10.243,252.900,0,
18/10/2025 3:32:08 PM,0.000,22.301,0.497,0.952,1011.9,998.081,0.000,3.251,3.251,3.796,8.861,25.859,118.382,10.247,199.317,0,
18/10/2025 3:32:08 PM,0.016,22.300,0.497,0.952,1012.6,998.081,0.000,3.153,3.153,3.589,8.860,25.553,118.389,10.247,138.602,0,
18/10/2025 3:32:08 PM,0.006,22.294,0.497,0.953,1013.1,998.083,0.000,3.131,3.131,3.175,8.861,25.325,118.308,10.241,131.564,0,
18/10/2025 3:32:09 PM,0.000,22.289,0.497,0.953,1013.1,998.084,0.000,2.891,2.891,2.584,8.862,25.477,118.359,10.247,159.529,0,
18/10/2025 3:32:09 PM,0.000,22.276,0.497,0.953,1013.7,998.087,0.000,3.019,3.019,3.131,8.862,25.859,118.407,10.253,140.010,0,
18/10/2025 3:32:09 PM,0.000,22.274,0.498,0.953,1014.1,998.088,0.000,3.341,3.341,3.855,8.861,26.126,118.475,10.257,169.663,0,
18/10/2025 3:32:09 PM,0.006,22.278,0.498,0.953,1013.8,998.087,0.000,3.408,3.408,4.003,8.859,26.736,118.441,10.253,135.318,0,
18/10/2025 3:32:09 PM,0.010,22.283,0.498,0.953,1013.8,998.086,0.000,3.281,3.281,3.574,8.857,26.812,118.535,10.259,134.849,0,
18/10/2025 3:32:10 PM,0.014,22.283,0.497,0.953,1013.5,998.086,0.000,3.326,3.326,3.752,8.856,27.079,118.525,10.259,143.388,0,
18/10/2025 3:32:10 PM,0.027,22.285,0.497,0.953,1013.5,998.085,0.000,3.221,3.221,3.604,8.855,27.270,118.546,10.261,150.238,0,
18/10/2025 3:32:10 PM,0.045,22.286,0.497,0.953,1013.7,998.085,0.000,3.273,3.273,3.264,8.853,27.613,118.583,10.265,135.224,0,
18/10/2025 3:32:10 PM,0.073,22.281,0.498,0.953,1014.0,998.087,0.000,3.333,3.333,3.693,8.850,28.033,118.572,10.264,107.541,0,
