// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:2024/05/01 09:51:51
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=STOP 1

PreHeat=1000
Interval=200
SampleCnt=273

StartTime=2024/05/01 09:51:51
EndTime=2024/05/01 09:52:46

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.188
StartDepthA=-0.00944111069187053
StartDepthB=-0.00968354620944358

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
1/05/2024 9:51:51 AM,0.000,19.154,36.044,48.309,55440.0,1025.780,25.780,0.502,0.502,0.576,8.212,200.997,99.998,7.450,238.355,0,
1/05/2024 9:51:51 AM,0.015,19.153,36.044,48.307,55439.1,1025.780,25.780,0.449,0.449,0.546,8.212,201.036,99.914,7.443,236.290,0,
1/05/2024 9:51:51 AM,0.022,19.153,36.044,48.308,55439.7,1025.780,25.780,0.397,0.397,0.457,8.212,201.074,99.944,7.446,234.695,0,
1/05/2024 9:51:51 AM,0.026,19.153,36.044,48.309,55440.3,1025.781,25.780,0.412,0.412,0.413,8.212,201.074,99.940,7.446,234.226,0,
1/05/2024 9:51:51 AM,0.035,19.154,36.043,48.308,55438.6,1025.779,25.779,0.547,0.547,2.215,8.212,201.112,99.932,7.445,232.536,0,
1/05/2024 9:51:52 AM,0.043,19.153,36.044,48.309,55439.6,1025.780,25.780,0.524,0.524,1.018,8.212,201.112,99.951,7.446,231.786,0,
1/05/2024 9:51:52 AM,0.037,19.155,36.044,48.310,55439.2,1025.780,25.779,0.427,0.427,0.590,8.212,201.150,99.982,7.448,231.786,0,
1/05/2024 9:51:52 AM,0.022,19.155,36.044,48.309,55438.9,1025.779,25.779,0.382,0.382,0.487,8.212,201.150,99.976,7.448,233.944,0,
1/05/2024 9:51:52 AM,0.005,19.154,36.045,48.310,55440.1,1025.780,25.780,0.419,0.419,0.546,8.212,201.188,99.935,7.444,234.507,0,
1/05/2024 9:51:52 AM,0.000,19.154,36.044,48.309,55439.3,1025.780,25.780,0.412,0.412,0.443,8.212,201.188,99.962,7.447,234.789,0,
1/05/2024 9:51:53 AM,0.000,19.154,36.044,48.309,55439.1,1025.780,25.780,0.382,0.382,0.576,8.212,201.226,99.917,7.443,237.604,0,
1/05/2024 9:51:53 AM,0.000,19.154,36.043,48.309,55438.5,1025.779,25.779,0.434,0.434,0.546,8.212,201.226,99.837,7.438,238.167,0,
1/05/2024 9:51:53 AM,0.000,19.154,36.044,48.310,55439.6,1025.780,25.780,0.434,0.434,0.487,8.212,201.264,99.977,7.448,237.979,0,
1/05/2024 9:51:53 AM,0.000,19.154,36.044,48.309,55438.8,1025.779,25.779,0.412,0.412,0.576,8.212,201.264,99.913,7.443,238.636,0,
1/05/2024 9:51:53 AM,0.000,19.155,36.045,48.311,55440.0,1025.780,25.780,0.502,0.502,0.679,8.212,201.303,99.917,7.444,239.762,0,
1/05/2024 9:51:54 AM,0.000,19.155,36.042,48.308,55437.2,1025.778,25.778,0.472,0.472,0.605,8.212,201.303,99.961,7.447,239.856,0,
1/05/2024 9:51:54 AM,0.009,19.154,36.044,48.309,55439.2,1025.780,25.780,0.427,0.427,0.472,8.212,201.303,99.987,7.449,237.604,0,
1/05/2024 9:51:54 AM,0.022,19.153,36.044,48.307,55439.1,1025.780,25.780,0.419,0.419,0.531,8.212,201.341,99.901,7.443,237.698,0,
1/05/2024 9:51:54 AM,0.028,19.152,36.044,48.308,55439.8,1025.780,25.780,0.404,0.404,0.605,8.212,201.341,99.966,7.448,234.507,0,
