// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:2024/05/01 14:12:53
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=Stop_4

PreHeat=1000
Interval=200
SampleCnt=158

StartTime=2024/05/01 14:12:53
EndTime=2024/05/01 14:13:25

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.188
StartDepthA=-0.121041097978189
StartDepthB=-0.124628590170205

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
1/05/2024 2:12:53 PM,0.000,19.456,0.125,0.232,264.1,998.412,0.000,485.837,485.837,1251.084,7.894,280.329,102.166,9.487,583.593,0,
1/05/2024 2:12:53 PM,0.000,19.460,0.126,0.233,265.5,998.411,0.000,485.837,485.837,1239.280,7.893,280.367,102.174,9.487,580.966,0,
1/05/2024 2:12:53 PM,0.000,19.460,0.126,0.232,264.4,998.411,0.000,415.638,415.638,1139.999,7.892,280.405,102.110,9.481,578.338,0,
1/05/2024 2:12:53 PM,0.000,19.457,0.125,0.232,264.1,998.412,0.000,485.837,485.837,988.666,7.892,280.252,102.121,9.483,568.297,0,
1/05/2024 2:12:53 PM,0.000,19.458,0.125,0.231,263.1,998.411,0.000,401.617,401.617,633.146,7.892,280.176,102.066,9.479,557.130,0,
1/05/2024 2:12:54 PM,0.000,19.450,0.125,0.231,262.6,998.412,0.000,346.751,346.751,732.415,7.891,280.062,102.093,9.481,553.564,0,
1/05/2024 2:12:54 PM,0.000,19.437,0.124,0.230,262.0,998.415,0.000,462.939,462.939,634.731,7.891,279.947,102.102,9.482,552.720,0,
1/05/2024 2:12:54 PM,0.000,19.437,0.124,0.230,261.7,998.415,0.000,485.837,485.837,582.991,7.891,279.833,102.164,9.488,554.878,0,
1/05/2024 2:12:54 PM,0.000,19.440,0.124,0.230,262.2,998.414,0.000,485.837,485.837,1245.746,7.891,279.604,102.126,9.484,563.699,0,
1/05/2024 2:12:54 PM,0.000,19.446,0.125,0.230,262.4,998.413,0.000,301.263,301.263,1158.476,7.890,279.528,102.121,9.483,569.799,0,
1/05/2024 2:12:55 PM,0.000,19.444,2.069,3.484,3969.5,999.897,0.000,95.365,95.365,313.974,7.893,259.085,102.186,9.376,575.429,0,
1/05/2024 2:12:55 PM,0.010,19.304,36.379,48.866,55866.0,1025.997,25.997,28.530,28.530,78.736,7.963,235.972,102.915,7.661,574.960,0,
1/05/2024 2:12:55 PM,0.097,19.253,36.391,48.827,55893.0,1026.020,26.019,9.550,9.550,21.347,8.004,232.768,102.992,7.652,563.887,0,
1/05/2024 2:12:55 PM,0.201,19.242,36.389,48.813,55893.4,1026.022,26.021,4.232,4.232,7.171,8.035,231.433,102.892,7.641,324.500,0,
1/05/2024 2:12:55 PM,0.316,19.239,36.380,48.799,55881.2,1026.016,26.014,2.569,2.569,3.293,8.061,230.899,102.766,7.630,295.597,0,
1/05/2024 2:12:56 PM,0.435,19.240,36.368,48.786,55865.5,1026.008,26.006,1.992,1.992,2.111,8.082,230.670,102.676,7.624,305.075,0,
1/05/2024 2:12:56 PM,0.549,19.240,36.363,48.780,55858.2,1026.004,26.002,1.670,1.670,1.639,8.099,230.518,102.623,7.621,293.439,0,
1/05/2024 2:12:56 PM,0.684,19.240,36.356,48.771,55848.2,1025.999,25.996,1.476,1.476,1.417,8.113,230.403,102.564,7.616,288.935,0,
1/05/2024 2:12:56 PM,0.827,19.240,36.354,48.770,55846.5,1025.998,25.995,1.378,1.378,1.240,8.125,230.365,102.487,7.611,284.993,0,
