// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:1980/02/21 21:32:54
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=May Profile 7

PreHeat=1000
Interval=200
SampleCnt=342

StartTime=1980/02/21 21:32:54
EndTime=1980/02/21 21:34:03

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.076
StartDepthA=0.0188588988433881
StartDepthB=0.0183265757652686

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
21/02/1980 9:32:54 PM,0.020,17.255,0.025,0.037,45.1,998.751,0.000,0.000,0.000,0.000,8.182,46.302,101.095,9.535,900.774,0,
21/02/1980 9:32:54 PM,0.022,17.238,0.025,0.037,44.8,998.754,0.000,228.279,228.279,13.672,8.193,46.302,101.135,9.543,670.959,0,
21/02/1980 9:32:54 PM,0.022,17.246,0.025,0.037,44.3,998.752,0.000,484.496,484.496,14.475,8.209,46.302,101.074,9.539,1068.560,0,
21/02/1980 9:32:55 PM,0.022,17.263,0.025,0.037,44.4,998.749,0.000,76.235,76.235,0.000,8.225,46.302,101.057,9.539,1357.213,0,
21/02/1980 9:32:55 PM,0.022,17.317,0.025,0.037,44.3,998.740,0.000,0.000,0.000,20.421,8.246,46.263,101.159,9.553,1345.296,0,
21/02/1980 9:32:55 PM,0.022,17.339,0.025,0.037,44.1,998.736,0.000,479.979,479.979,220.015,8.253,46.302,101.130,9.551,1179.855,0,
21/02/1980 9:32:55 PM,0.024,17.374,0.025,0.036,43.8,998.730,0.000,425.548,425.548,0.000,8.262,46.225,101.159,9.552,1078.601,0,
21/02/1980 9:32:55 PM,0.029,17.425,0.430,0.744,892.3,999.032,0.000,125.401,125.401,321.422,8.282,46.225,101.628,9.559,1106.941,0,
21/02/1980 9:32:56 PM,0.016,18.847,0.542,0.961,1111.6,998.852,0.000,37.121,37.121,141.813,8.382,4.538,103.684,9.530,1182.295,0,
21/02/1980 9:32:56 PM,0.014,19.510,0.535,0.962,1093.8,998.714,0.000,12.059,12.059,40.929,8.456,-7.590,104.573,9.545,1264.781,0,
21/02/1980 9:32:56 PM,0.020,19.664,0.532,0.961,1089.2,998.682,0.000,5.595,5.595,19.153,8.515,-7.933,105.391,9.607,1254.364,0,
21/02/1980 9:32:56 PM,0.039,19.694,0.532,0.961,1088.0,998.675,0.000,3.753,3.753,13.791,8.563,-8.582,106.001,9.658,1245.919,0,
21/02/1980 9:32:56 PM,0.056,19.704,0.532,0.961,1087.9,998.673,0.000,3.505,3.505,12.453,8.605,-8.391,106.344,9.691,1249.766,0,
21/02/1980 9:32:57 PM,0.060,19.707,0.532,0.961,1087.9,998.673,0.000,3.318,3.318,13.226,8.641,-8.124,106.705,9.722,1256.147,0,
21/02/1980 9:32:57 PM,0.073,19.707,0.532,0.962,1088.3,998.673,0.000,3.049,3.049,10.997,8.672,-8.162,107.062,9.752,1226.025,0,
21/02/1980 9:32:57 PM,0.096,19.704,0.532,0.962,1088.5,998.673,0.000,2.794,2.794,12.022,8.697,-8.429,107.306,9.774,1196.934,0,
21/02/1980 9:32:57 PM,0.121,19.711,0.532,0.962,1088.9,998.672,0.000,3.281,3.281,13.389,8.719,-8.048,107.632,9.803,1187.175,0,
21/02/1980 9:32:57 PM,0.148,19.719,0.532,0.962,1089.0,998.671,0.000,3.206,3.206,13.776,8.738,-7.819,107.702,9.809,1186.612,0,
