// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:1980/02/21 21:24:30
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=May Profile 5

PreHeat=1000
Interval=200
SampleCnt=380

StartTime=1980/02/21 21:24:30
EndTime=1980/02/21 21:25:47

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.076
StartDepthA=0.00397890053854474
StartDepthB=0.00364972913467219

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
21/02/1980 9:24:30 PM,0.004,19.082,0.541,0.964,1107.8,998.805,0.000,11.198,11.198,9.365,8.899,4.767,102.314,9.397,1270.223,0,
21/02/1980 9:24:31 PM,0.027,19.552,0.535,0.963,1094.4,998.706,0.000,6.045,6.045,12.765,8.902,2.975,102.904,9.393,1301.566,0,
21/02/1980 9:24:31 PM,0.045,19.689,0.533,0.963,1090.3,998.677,0.000,4.419,4.419,11.710,8.901,2.860,103.401,9.421,1294.622,0,
21/02/1980 9:24:31 PM,0.052,19.724,0.532,0.962,1088.8,998.669,0.000,4.502,4.502,12.735,8.900,2.174,104.136,9.483,1315.267,0,
21/02/1980 9:24:31 PM,0.056,19.735,0.533,0.963,1089.3,998.667,0.000,3.865,3.865,11.428,8.899,2.441,104.778,9.540,1315.079,0,
21/02/1980 9:24:31 PM,0.062,19.737,0.532,0.963,1089.0,998.667,0.000,3.311,3.311,11.324,8.897,2.364,105.362,9.592,1279.701,0,
21/02/1980 9:24:32 PM,0.069,19.732,0.532,0.962,1088.4,998.668,0.000,3.423,3.423,13.047,8.893,2.708,106.173,9.665,1220.019,0,
21/02/1980 9:24:32 PM,0.071,19.737,0.532,0.962,1088.4,998.667,0.000,3.475,3.475,13.999,8.890,2.936,106.626,9.702,1233.626,0,
21/02/1980 9:24:32 PM,0.075,19.742,0.532,0.962,1088.3,998.666,0.000,3.535,3.535,13.152,8.888,3.127,106.994,9.736,1228.934,0,
21/02/1980 9:24:32 PM,0.075,19.741,0.532,0.963,1088.8,998.666,0.000,3.303,3.303,12.349,8.885,3.280,107.294,9.761,1234.752,0,
21/02/1980 9:24:32 PM,0.075,19.744,0.532,0.963,1088.4,998.665,0.000,3.386,3.386,11.621,8.883,3.432,107.699,9.798,1245.168,0,
21/02/1980 9:24:33 PM,0.077,19.741,0.532,0.963,1088.6,998.666,0.000,3.011,3.011,11.354,8.880,3.852,107.982,9.825,1261.965,0,
21/02/1980 9:24:33 PM,0.087,19.744,0.532,0.962,1087.8,998.665,0.000,3.108,3.108,10.864,8.875,4.348,108.084,9.833,1264.781,0,
21/02/1980 9:24:33 PM,0.090,19.735,0.532,0.963,1088.6,998.667,0.000,3.296,3.296,11.042,8.872,4.195,108.281,9.854,1241.696,0,
21/02/1980 9:24:33 PM,0.090,19.726,0.532,0.962,1088.4,998.669,0.000,3.408,3.408,11.161,8.870,4.271,108.358,9.862,1220.769,0,
21/02/1980 9:24:33 PM,0.109,19.730,0.533,0.963,1089.3,998.669,0.000,3.288,3.288,11.963,8.869,3.775,108.549,9.879,1224.617,0,
21/02/1980 9:24:34 PM,0.146,19.736,0.533,0.964,1089.8,998.668,0.000,3.056,3.056,13.598,8.866,3.737,108.531,9.876,1206.224,0,
21/02/1980 9:24:34 PM,0.167,19.735,0.532,0.963,1089.0,998.668,0.000,3.198,3.198,12.750,8.863,4.348,108.684,9.888,1142.225,0,
