// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:1980/02/21 21:20:30
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=May Profile 4

PreHeat=1000
Interval=200
SampleCnt=343

StartTime=1980/02/21 21:20:30
EndTime=1980/02/21 21:21:39

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.076
StartDepthA=0.104418889096235
StartDepthB=0.104018190252276

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
21/02/1980 9:20:30 PM,0.107,19.682,0.532,0.961,1088.8,998.678,0.000,2.876,2.876,12.468,8.825,6.369,108.865,9.916,1113.791,0,
21/02/1980 9:20:30 PM,0.111,19.676,0.532,0.961,1089.0,998.679,0.000,3.004,3.004,12.067,8.827,6.369,108.890,9.918,954.357,0,
21/02/1980 9:20:30 PM,0.111,19.672,0.532,0.961,1088.7,998.680,0.000,2.891,2.891,11.695,8.829,6.293,108.875,9.918,674.900,0,
21/02/1980 9:20:30 PM,0.107,19.672,0.532,0.961,1088.8,998.680,0.000,3.258,3.258,12.022,8.831,6.636,108.930,9.922,447.712,0,
21/02/1980 9:20:30 PM,0.100,19.673,0.532,0.961,1088.8,998.680,0.000,2.936,2.936,12.958,8.832,6.674,108.955,9.924,378.740,0,
21/02/1980 9:20:31 PM,0.100,19.675,0.532,0.961,1089.1,998.680,0.000,3.034,3.034,13.479,8.833,6.750,108.918,9.920,286.495,0,
21/02/1980 9:20:31 PM,0.100,19.679,0.532,0.961,1088.9,998.679,0.000,2.959,2.959,11.487,8.834,7.056,108.935,9.920,233.850,0,
21/02/1980 9:20:31 PM,0.098,19.684,0.532,0.961,1088.6,998.678,0.000,2.846,2.846,11.903,8.834,7.208,108.931,9.920,307.515,0,
21/02/1980 9:20:31 PM,0.098,19.682,0.532,0.962,1089.0,998.678,0.000,3.108,3.108,12.735,8.835,7.361,109.028,9.930,341.485,0,
21/02/1980 9:20:31 PM,0.113,19.688,0.532,0.962,1089.2,998.677,0.000,3.138,3.138,15.353,8.835,7.323,109.091,9.935,231.973,0,
21/02/1980 9:20:32 PM,0.132,19.689,0.533,0.962,1089.3,998.677,0.000,3.198,3.198,12.126,8.835,7.399,108.993,9.926,164.784,0,
21/02/1980 9:20:32 PM,0.155,19.686,0.533,0.962,1089.4,998.678,0.000,3.138,3.138,10.789,8.834,7.742,108.938,9.920,144.608,0,
21/02/1980 9:20:32 PM,0.188,19.689,0.533,0.962,1089.4,998.677,0.000,3.213,3.213,10.626,8.832,7.590,108.994,9.926,142.450,0,
21/02/1980 9:20:32 PM,0.214,19.691,0.533,0.962,1089.5,998.677,0.000,3.243,3.243,12.052,8.831,8.085,108.981,9.925,143.013,0,
21/02/1980 9:20:32 PM,0.247,19.688,0.533,0.962,1089.4,998.678,0.000,3.213,3.213,12.245,8.829,8.429,108.918,9.918,152.397,0,
21/02/1980 9:20:33 PM,0.277,19.689,0.533,0.962,1089.7,998.678,0.000,3.303,3.303,13.702,8.829,8.314,108.921,9.918,407.549,0,
21/02/1980 9:20:33 PM,0.298,19.690,0.533,0.963,1089.9,998.678,0.000,3.049,3.049,14.163,8.829,8.772,108.925,9.919,554.034,0,
21/02/1980 9:20:33 PM,0.346,19.694,0.533,0.962,1089.5,998.677,0.000,3.161,3.161,12.141,8.827,9.039,109.006,9.925,541.741,0,
21/02/1980 9:20:33 PM,0.396,19.696,0.533,0.962,1089.6,998.677,0.000,3.101,3.101,11.651,8.827,9.115,109.057,9.929,678.841,0,
21/02/1980 9:20:33 PM,0.442,19.684,0.533,0.962,1089.8,998.680,0.000,3.168,3.168,11.963,8.827,9.191,109.048,9.928,589.787,0,
21/02/1980 9:20:34 PM,0.474,19.671,0.533,0.962,1089.5,998.682,0.000,3.108,3.108,12.007,8.826,9.611,109.077,9.933,461.695,0,
21/02/1980 9:20:34 PM,0.493,19.672,0.532,0.962,1089.2,998.682,0.000,3.176,3.176,12.438,8.825,10.069,109.002,9.928,530.010,0,
21/02/1980 9:20:34 PM,0.526,19.671,0.533,0.962,1089.4,998.682,0.000,3.311,3.311,12.512,8.824,9.916,109.126,9.939,475.677,0,
21/02/1980 9:20:34 PM,0.569,19.679,0.533,0.962,1090.1,998.681,0.000,3.273,3.273,11.369,8.823,10.259,109.029,9.928,443.490,0,
21/02/1980 9:20:35 PM,0.600,19.689,0.533,0.962,1089.7,998.679,0.000,3.445,3.445,12.542,8.822,10.603,109.106,9.936,510.398,0,
21/02/1980 9:20:35 PM,0.617,19.690,0.533,0.962,1089.5,998.679,0.000,3.296,3.296,13.241,8.820,10.946,109.096,9.936,576.837,0,
21/02/1980 9:20:35 PM,0.634,19.688,0.533,0.962,1089.6,998.680,0.000,3.228,3.228,12.394,8.817,11.289,109.079,9.934,410.645,0,
21/02/1980 9:20:35 PM,0.657,19.685,0.533,0.962,1089.3,998.680,0.000,3.281,3.281,12.111,8.815,11.480,109.082,9.934,310.893,0,
21/02/1980 9:20:35 PM,0.684,19.686,0.533,0.962,1089.5,998.680,0.000,3.341,3.341,12.483,8.813,11.632,109.074,9.933,465.448,0,
21/02/1980 9:20:36 PM,0.718,19.680,0.533,0.962,1089.3,998.682,0.000,3.490,3.490,11.666,8.812,11.823,109.123,9.939,466.293,0,
21/02/1980 9:20:36 PM,0.755,19.670,0.533,0.962,1090.1,998.684,0.000,3.266,3.266,10.908,8.810,11.937,109.057,9.933,415.994,0,
21/02/1980 9:20:36 PM,0.802,19.677,0.533,0.962,1089.8,998.683,0.000,3.311,3.311,11.963,8.808,12.128,109.108,9.938,444.240,0,
21/02/1980 9:20:36 PM,0.865,19.684,0.533,0.962,1089.8,998.682,0.000,3.356,3.356,12.215,8.806,12.395,109.162,9.942,300.946,0,
21/02/1980 9:20:36 PM,0.894,19.679,0.533,0.962,1089.9,998.683,0.000,3.520,3.520,13.538,8.804,12.815,109.086,9.936,225.311,0,
21/02/1980 9:20:37 PM,0.923,19.671,0.533,0.962,1089.9,998.684,0.000,3.483,3.483,13.181,8.802,12.891,109.205,9.948,359.221,0,
21/02/1980 9:20:37 PM,0.951,19.668,0.533,0.962,1089.9,998.685,0.000,3.513,3.513,13.285,8.801,12.929,109.195,9.946,346.928,0,
21/02/1980 9:20:37 PM,0.970,19.670,0.533,0.962,1089.6,998.685,0.000,3.595,3.595,13.821,8.799,13.387,109.208,9.946,237.885,0,
21/02/1980 9:20:37 PM,0.984,19.670,0.533,0.962,1089.7,998.685,0.000,3.386,3.386,12.854,8.797,13.539,109.230,9.948,216.396,0,
21/02/1980 9:20:37 PM,1.003,19.670,0.533,0.962,1089.6,998.685,0.000,3.318,3.318,12.275,8.795,13.616,109.225,9.948,270.448,0,
21/02/1980 9:20:38 PM,1.026,19.670,0.533,0.962,1089.4,998.685,0.000,3.535,3.535,12.587,8.794,13.654,109.242,9.951,263.504,0,
21/02/1980 9:20:38 PM,1.058,19.673,0.533,0.962,1089.7,998.685,0.000,3.513,3.513,12.720,8.793,13.768,109.205,9.948,253.369,0,
21/02/1980 9:20:38 PM,1.102,19.682,0.533,0.962,1089.7,998.683,0.000,3.356,3.356,11.398,8.793,13.844,109.197,9.947,213.862,0,
21/02/1980 9:20:38 PM,1.152,19.683,0.533,0.962,1089.7,998.683,0.000,3.558,3.558,13.419,8.792,13.959,109.180,9.944,242.108,0,
21/02/1980 9:20:38 PM,1.199,19.678,0.533,0.962,1089.8,998.684,0.000,3.655,3.655,13.598,8.791,14.073,109.302,9.956,217.053,0,
21/02/1980 9:20:39 PM,1.234,19.675,0.533,0.962,1089.7,998.685,0.000,3.498,3.498,12.319,8.790,14.188,109.191,9.946,188.431,0,
21/02/1980 9:20:39 PM,1.259,19.669,0.533,0.962,1090.0,998.687,0.000,3.685,3.685,14.192,8.790,14.378,109.301,9.956,187.962,0,
21/02/1980 9:20:39 PM,1.272,19.649,0.533,0.962,1090.6,998.691,0.000,3.490,3.490,12.260,8.789,14.417,109.266,9.954,194.156,0,
21/02/1980 9:20:39 PM,1.291,19.641,0.533,0.962,1090.2,998.692,0.000,3.401,3.401,11.844,8.789,14.531,109.182,9.951,173.417,0,
21/02/1980 9:20:39 PM,1.308,19.638,0.533,0.961,1090.0,998.693,0.000,3.348,3.348,11.918,8.788,14.607,109.171,9.951,169.007,0,
21/02/1980 9:20:40 PM,1.329,19.637,0.533,0.961,1090.0,998.693,0.000,3.288,3.288,12.572,8.788,14.684,109.194,9.953,159.059,0,
21/02/1980 9:20:40 PM,1.350,19.637,0.533,0.961,1089.9,998.693,0.000,3.191,3.191,12.572,8.788,14.798,109.184,9.951,149.394,0,
21/02/1980 9:20:40 PM,1.377,19.636,0.533,0.961,1089.8,998.693,0.000,3.416,3.416,13.122,8.787,14.874,109.102,9.944,161.687,0,
21/02/1980 9:20:40 PM,1.419,19.627,0.533,0.961,1089.7,998.695,0.000,3.528,3.528,11.859,8.787,14.989,109.099,9.946,158.590,0,
21/02/1980 9:20:40 PM,1.465,19.620,0.533,0.961,1090.1,998.697,0.000,3.378,3.378,10.849,8.787,15.103,109.108,9.948,132.596,0,
21/02/1980 9:20:41 PM,1.499,19.618,0.533,0.961,1090.0,998.698,0.000,3.431,3.431,12.111,8.786,15.256,109.105,9.947,126.028,0,
21/02/1980 9:20:41 PM,1.524,19.616,0.533,0.961,1089.8,998.698,0.000,3.198,3.198,11.562,8.786,15.370,109.060,9.944,138.133,0,
21/02/1980 9:20:41 PM,1.547,19.615,0.533,0.961,1089.6,998.698,0.000,3.221,3.221,13.270,8.785,15.484,109.083,9.946,135.505,0,
21/02/1980 9:20:41 PM,1.568,19.616,0.533,0.961,1089.8,998.698,0.000,3.857,3.857,13.880,8.785,15.675,109.096,9.948,114.485,0,
21/02/1980 9:20:41 PM,1.593,19.615,0.533,0.961,1089.9,998.699,0.000,3.460,3.460,13.047,8.784,15.751,109.022,9.940,118.427,0,
21/02/1980 9:20:42 PM,1.610,19.616,0.533,0.961,1089.8,998.699,0.000,3.401,3.401,12.854,8.784,15.828,108.970,9.935,120.773,0,
21/02/1980 9:20:42 PM,1.635,19.616,0.533,0.961,1089.8,998.699,0.000,3.221,3.221,10.938,8.783,15.828,109.088,9.946,107.447,0,
21/02/1980 9:20:42 PM,1.679,19.617,0.533,0.961,1089.8,998.699,0.000,3.221,3.221,12.735,8.783,15.904,109.064,9.943,107.823,0,
21/02/1980 9:20:42 PM,1.764,19.619,0.533,0.961,1089.8,998.699,0.000,3.393,3.393,12.453,8.783,16.057,109.067,9.945,101.160,0,
21/02/1980 9:20:42 PM,1.801,19.619,0.533,0.961,1089.8,998.699,0.000,3.266,3.266,12.082,8.783,16.247,109.029,9.941,88.585,0,
21/02/1980 9:20:43 PM,1.824,19.618,0.533,0.961,1089.8,998.699,0.000,3.213,3.213,12.096,8.782,16.476,108.988,9.937,87.647,0,
21/02/1980 9:20:43 PM,1.847,19.618,0.532,0.960,1089.4,998.699,0.000,3.348,3.348,11.651,8.781,16.591,109.005,9.937,88.867,0,
21/02/1980 9:20:43 PM,1.875,19.616,0.533,0.961,1090.0,998.700,0.000,3.176,3.176,11.814,8.780,16.705,108.949,9.934,84.456,0,
21/02/1980 9:20:43 PM,1.902,19.614,0.533,0.961,1089.8,998.700,0.000,3.063,3.063,10.522,8.779,16.896,108.963,9.936,81.453,0,
21/02/1980 9:20:43 PM,1.948,19.610,0.533,0.961,1089.7,998.701,0.000,3.153,3.153,11.829,8.779,17.010,109.033,9.942,82.580,0,
21/02/1980 9:20:44 PM,1.999,19.602,0.533,0.960,1089.8,998.703,0.000,3.438,3.438,13.360,8.778,17.163,108.997,9.941,73.759,0,
21/02/1980 9:20:44 PM,2.047,19.594,0.533,0.961,1090.2,998.705,0.000,3.371,3.371,12.022,8.777,17.239,108.926,9.935,66.345,0,
21/02/1980 9:20:44 PM,2.083,19.591,0.533,0.960,1089.9,998.706,0.000,3.213,3.213,11.784,8.776,17.468,108.946,9.937,66.064,0,
21/02/1980 9:20:44 PM,2.110,19.589,0.533,0.961,1090.5,998.707,0.000,3.116,3.116,16.917,8.775,17.582,108.847,9.930,64.750,0,
21/02/1980 9:20:44 PM,2.135,19.589,0.533,0.960,1090.1,998.707,0.000,3.236,3.236,13.865,8.774,17.697,108.781,9.923,61.653,0,
21/02/1980 9:20:45 PM,2.160,19.591,0.533,0.960,1089.9,998.706,0.000,3.146,3.146,12.869,8.773,17.811,108.793,9.923,59.307,0,
21/02/1980 9:20:45 PM,2.196,19.589,0.533,0.960,1090.2,998.707,0.000,3.019,3.019,12.156,8.772,17.887,108.698,9.914,60.058,0,
21/02/1980 9:20:45 PM,2.253,19.580,0.533,0.960,1090.3,998.709,0.000,3.108,3.108,11.339,8.771,18.078,108.689,9.916,54.709,0,
