// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:2024/05/01 10:10:53
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=stop 2

PreHeat=1000
Interval=200
SampleCnt=626

StartTime=2024/05/01 10:10:53
EndTime=2024/05/01 10:13:27

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.188
StartDepthA=0.0277588850702365
StartDepthB=0.0281978439485477

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
1/05/2024 10:10:53 AM,0.028,19.815,35.970,48.906,55203.6,1025.551,25.551,3.341,3.341,2.318,8.184,206.451,99.994,7.363,289.873,0,
1/05/2024 10:10:53 AM,0.045,19.817,35.968,48.906,55200.0,1025.549,25.548,1.416,1.416,1.048,8.184,206.490,99.995,7.363,289.404,0,
1/05/2024 10:10:53 AM,0.045,19.819,35.968,48.908,55199.8,1025.548,25.548,0.824,0.824,0.753,8.184,206.490,99.984,7.362,288.371,0,
1/05/2024 10:10:53 AM,0.030,19.820,35.968,48.909,55200.1,1025.548,25.548,0.584,0.584,0.516,8.184,206.528,99.902,7.356,287.715,0,
1/05/2024 10:10:54 AM,0.000,19.820,35.968,48.910,55199.6,1025.548,25.548,0.487,0.487,0.502,8.184,206.528,99.910,7.357,291.468,0,
1/05/2024 10:10:54 AM,0.000,19.820,35.969,48.910,55201.1,1025.548,25.549,0.434,0.434,0.443,8.184,206.566,99.853,7.352,288.653,0,
1/05/2024 10:10:54 AM,0.000,19.820,35.967,48.908,55198.7,1025.547,25.547,0.397,0.397,0.398,8.183,206.566,99.875,7.354,288.841,0,
1/05/2024 10:10:54 AM,0.000,19.820,35.967,48.908,55199.0,1025.547,25.548,0.382,0.382,0.398,8.183,206.604,99.813,7.350,290.436,0,
1/05/2024 10:10:54 AM,0.000,19.820,35.966,48.907,55197.6,1025.547,25.547,0.419,0.419,0.384,8.183,206.604,99.827,7.351,292.688,0,
1/05/2024 10:10:55 AM,0.000,19.821,35.968,48.910,55199.3,1025.547,25.548,0.337,0.337,0.354,8.183,206.642,99.827,7.351,298.412,0,
1/05/2024 10:10:55 AM,0.000,19.821,35.966,48.909,55197.3,1025.546,25.546,0.307,0.307,0.325,8.183,206.642,99.869,7.354,297.380,0,
1/05/2024 10:10:55 AM,0.000,19.821,35.966,48.909,55197.2,1025.546,25.546,0.277,0.277,0.295,8.183,206.680,99.718,7.342,302.448,0,
1/05/2024 10:10:55 AM,0.000,19.820,35.967,48.908,55198.2,1025.547,25.547,0.270,0.270,0.502,8.183,206.680,99.715,7.342,305.826,0,
1/05/2024 10:10:55 AM,0.000,19.821,35.965,48.907,55195.8,1025.546,25.546,0.262,0.262,0.413,8.183,206.680,99.796,7.348,301.884,0,
1/05/2024 10:10:56 AM,0.026,19.820,35.967,48.907,55197.9,1025.547,25.547,0.262,0.262,0.339,8.183,206.718,99.731,7.344,303.198,0,
1/05/2024 10:10:56 AM,0.039,19.820,35.967,48.908,55198.2,1025.547,25.547,0.255,0.255,0.354,8.183,206.718,99.686,7.340,305.263,0,
1/05/2024 10:10:56 AM,0.045,19.820,35.966,48.907,55197.8,1025.547,25.547,0.247,0.247,0.339,8.183,206.757,99.720,7.343,300.665,0,
1/05/2024 10:10:56 AM,0.063,19.820,35.966,48.907,55196.4,1025.546,25.546,0.240,0.240,0.339,8.183,206.757,99.700,7.341,298.975,0,
