// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:2025/10/18 15:49:29
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=oct prof 6

PreHeat=1000
Interval=200
SampleCnt=545

StartTime=2025/10/18 15:49:29
EndTime=2025/10/18 15:51:19

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.182
StartDepthA=0.0616588818918169
StartDepthB=0.0597721075291638

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
18/10/2025 3:49:29 PM,0.065,22.428,0.510,0.979,1037.7,998.062,0.000,3.925,3.925,4.255,8.865,24.066,116.756,10.077,601.048,0,
18/10/2025 3:49:29 PM,0.067,22.426,0.510,0.979,1038.0,998.062,0.000,3.925,3.925,4.920,8.865,23.990,116.815,10.083,735.333,0,
18/10/2025 3:49:30 PM,0.063,22.434,0.510,0.980,1038.1,998.061,0.000,3.708,3.708,3.988,8.866,23.646,116.844,10.084,809.373,0,
18/10/2025 3:49:30 PM,0.058,22.440,0.510,0.979,1037.8,998.059,0.000,3.775,3.775,3.693,8.866,23.761,116.904,10.089,951.541,0,
18/10/2025 3:49:30 PM,0.054,22.434,0.510,0.979,1037.5,998.060,0.000,3.693,3.693,4.624,8.867,23.799,116.755,10.078,737.304,0,
18/10/2025 3:49:30 PM,0.058,22.436,0.510,0.979,1037.4,998.060,0.000,3.610,3.610,3.589,8.868,23.761,116.707,10.073,462.352,0,
18/10/2025 3:49:30 PM,0.071,22.442,0.510,0.979,1037.6,998.059,0.000,3.655,3.655,3.840,8.868,23.494,117.013,10.098,829.549,0,
18/10/2025 3:49:31 PM,0.079,22.446,0.510,0.980,1038.5,998.058,0.000,3.648,3.648,3.737,8.869,23.837,116.942,10.092,759.638,0,
18/10/2025 3:49:31 PM,0.084,22.449,0.510,0.980,1038.5,998.057,0.000,3.640,3.640,3.500,8.867,24.333,116.778,10.077,568.203,0,
18/10/2025 3:49:31 PM,0.080,22.452,0.510,0.980,1038.4,998.057,0.000,3.610,3.610,3.560,8.866,24.333,116.631,10.065,787.602,0,
18/10/2025 3:49:31 PM,0.092,22.451,0.510,0.980,1038.4,998.057,0.000,3.573,3.573,3.146,8.866,23.875,116.899,10.088,859.578,0,
18/10/2025 3:49:31 PM,0.121,22.444,0.510,0.980,1038.6,998.059,0.000,3.655,3.655,3.397,8.866,23.875,116.827,10.083,779.344,0,
18/10/2025 3:49:32 PM,0.157,22.437,0.511,0.981,1039.2,998.061,0.000,3.768,3.768,3.500,8.868,23.685,116.876,10.085,644.777,0,
18/10/2025 3:49:32 PM,0.182,22.441,0.511,0.981,1039.4,998.060,0.000,3.850,3.850,3.693,8.865,24.676,116.859,10.083,701.363,0,
18/10/2025 3:49:32 PM,0.203,22.448,0.511,0.981,1039.4,998.058,0.000,3.872,3.872,4.802,8.858,26.087,116.877,10.085,589.318,0,
18/10/2025 3:49:32 PM,0.216,22.449,0.511,0.981,1039.5,998.058,0.000,3.872,3.872,4.003,8.851,26.583,116.956,10.091,581.717,0,
18/10/2025 3:49:32 PM,0.229,22.446,0.511,0.981,1039.4,998.059,0.000,3.813,3.813,3.663,8.843,27.155,116.967,10.092,466.762,0,
18/10/2025 3:49:33 PM,0.233,22.442,0.511,0.981,1039.7,998.060,0.000,3.917,3.917,3.456,8.837,27.346,116.924,10.089,575.805,0,
18/10/2025 3:49:33 PM,0.237,22.434,0.511,0.981,1040.0,998.062,0.000,4.120,4.120,3.737,8.830,27.804,116.927,10.091,504.298,0,
