// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:2025/10/18 15:40:17
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=Oct Prof 4

PreHeat=1000
Interval=200
SampleCnt=392

StartTime=2025/10/18 15:40:17
EndTime=2025/10/18 15:41:37

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.182
StartDepthA=0.0653788814680281
StartDepthB=0.0641285611549873

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
18/10/2025 3:40:17 PM,0.068,22.250,0.512,0.979,1042.1,998.105,0.000,4.097,4.097,3.382,8.872,20.290,116.532,10.097,836.775,0,
18/10/2025 3:40:18 PM,0.068,22.250,0.512,0.979,1042.2,998.105,0.000,4.090,4.090,3.648,8.872,20.481,116.529,10.097,854.417,0,
18/10/2025 3:40:18 PM,0.055,22.247,0.512,0.979,1042.5,998.105,0.000,3.910,3.910,3.722,8.872,20.443,116.527,10.096,978.192,0,
18/10/2025 3:40:18 PM,0.045,22.242,0.512,0.979,1042.4,998.106,0.000,3.910,3.910,3.456,8.873,20.405,116.469,10.093,971.342,0,
18/10/2025 3:40:18 PM,0.051,22.241,0.512,0.979,1042.1,998.106,0.000,3.985,3.985,3.604,8.872,20.786,116.385,10.088,773.995,0,
18/10/2025 3:40:18 PM,0.072,22.241,0.512,0.979,1042.3,998.107,0.000,4.075,4.075,3.707,8.872,20.900,116.434,10.091,924.140,0,
18/10/2025 3:40:19 PM,0.080,22.242,0.512,0.980,1042.8,998.107,0.000,4.232,4.232,4.107,8.871,21.015,116.297,10.079,889.607,0,
18/10/2025 3:40:19 PM,0.068,22.241,0.512,0.980,1043.2,998.107,0.000,4.232,4.232,3.560,8.870,21.244,116.414,10.090,810.875,0,
18/10/2025 3:40:19 PM,0.053,22.240,0.512,0.979,1042.7,998.107,0.000,4.142,4.142,4.048,8.871,20.862,116.481,10.093,930.052,0,
18/10/2025 3:40:19 PM,0.078,22.248,0.513,0.980,1043.6,998.106,0.000,4.142,4.142,3.752,8.871,21.015,116.463,10.092,529.917,0,
18/10/2025 3:40:19 PM,0.116,22.255,0.513,0.981,1043.8,998.104,0.000,4.217,4.217,3.840,8.870,21.472,116.555,10.100,735.333,0,
18/10/2025 3:40:20 PM,0.162,22.258,0.513,0.981,1044.3,998.104,0.000,4.247,4.247,3.737,8.869,21.739,116.569,10.099,702.114,0,
18/10/2025 3:40:20 PM,0.192,22.260,0.513,0.981,1044.2,998.104,0.000,4.209,4.209,3.781,8.866,22.006,116.770,10.115,645.903,0,
18/10/2025 3:40:20 PM,0.219,22.259,0.513,0.982,1044.5,998.104,0.000,4.052,4.052,3.929,8.865,21.930,116.821,10.119,713.375,0,
18/10/2025 3:40:20 PM,0.255,22.257,0.513,0.981,1044.4,998.105,0.000,3.872,3.872,3.722,8.866,21.511,116.726,10.111,642.994,0,
18/10/2025 3:40:20 PM,0.305,22.259,0.513,0.982,1045.1,998.105,0.000,4.007,4.007,4.151,8.865,22.159,116.708,10.109,509.272,0,
18/10/2025 3:40:21 PM,0.357,22.261,0.514,0.983,1046.0,998.105,0.000,3.910,3.910,3.974,8.862,22.731,116.713,10.109,449.589,0,
18/10/2025 3:40:21 PM,0.382,22.259,0.514,0.983,1046.2,998.105,0.000,3.925,3.925,3.959,8.859,22.960,116.754,10.112,483.184,0,
18/10/2025 3:40:21 PM,0.385,22.258,0.514,0.983,1046.5,998.106,0.000,3.753,3.753,3.160,8.859,22.731,116.588,10.097,505.143,0,
