// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:1980/01/04 21:15:27
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=8

PreHeat=1000
Interval=200
SampleCnt=826

StartTime=1980/01/04 21:15:27
EndTime=1980/01/04 21:18:14

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.032
StartDepthA=0.0888988958768629
StartDepthB=0.0864734650778215

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [�S/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [�g/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [�mol/(m2*s)],Mark,
4/01/1980 9:15:31 PM,0.109,23.175,0.531,1.033,1076.6,997.902,0.000,2.457,2.457,7.956,9.036,-40.162,102.913,8.756,1758.100,0,
4/01/1980 9:15:31 PM,0.107,23.174,0.531,1.033,1076.5,997.902,0.000,2.569,2.569,7.749,9.035,-39.933,102.973,8.761,1773.583,0,
4/01/1980 9:15:31 PM,0.109,23.176,0.531,1.033,1076.7,997.901,0.000,2.449,2.449,7.912,9.035,-39.780,103.054,8.766,1781.372,0,
4/01/1980 9:15:31 PM,0.109,23.178,0.531,1.033,1076.6,997.901,0.000,2.225,2.225,7.571,9.034,-39.361,103.052,8.765,1788.691,0,
4/01/1980 9:15:31 PM,0.111,23.178,0.531,1.033,1076.6,997.901,0.000,2.292,2.292,7.052,9.033,-39.094,103.086,8.768,1800.703,0,
4/01/1980 9:15:32 PM,0.113,23.179,0.531,1.034,1076.7,997.901,0.000,2.524,2.524,9.484,9.031,-38.979,102.958,8.757,1801.923,0,
4/01/1980 9:15:32 PM,0.113,23.180,0.531,1.033,1076.5,997.900,0.000,2.569,2.569,9.765,9.031,-38.941,102.982,8.759,1799.483,0,
4/01/1980 9:15:32 PM,0.113,23.181,0.531,1.034,1076.7,997.900,0.000,2.487,2.487,8.193,9.031,-39.056,102.991,8.760,1791.976,0,
4/01/1980 9:15:32 PM,0.113,23.182,0.531,1.034,1076.6,997.900,0.000,2.337,2.337,8.846,9.032,-39.056,102.990,8.759,1784.656,0,
4/01/1980 9:15:32 PM,0.109,23.184,0.531,1.033,1076.4,997.899,0.000,2.397,2.397,7.497,9.033,-38.979,103.080,8.768,1780.715,0,
4/01/1980 9:15:33 PM,0.107,23.183,0.530,1.033,1076.4,997.899,0.000,2.389,2.389,6.800,9.034,-38.789,102.994,8.760,1761.009,0,
4/01/1980 9:15:33 PM,0.111,23.181,0.531,1.033,1076.5,997.900,0.000,2.262,2.262,7.526,9.035,-38.712,103.011,8.761,1764.105,0,
4/01/1980 9:15:33 PM,0.119,23.183,0.531,1.033,1076.4,997.900,0.000,2.232,2.232,8.356,9.035,-38.560,103.000,8.760,1762.135,0,
4/01/1980 9:15:33 PM,0.130,23.184,0.530,1.033,1076.3,997.899,0.000,2.389,2.389,8.223,9.034,-38.407,102.972,8.758,1760.633,0,
4/01/1980 9:15:33 PM,0.145,23.182,0.531,1.034,1076.6,997.900,0.000,2.299,2.299,7.600,9.032,-38.140,103.014,8.763,1767.859,0,
4/01/1980 9:15:34 PM,0.161,23.172,0.531,1.034,1076.8,997.903,0.000,2.412,2.412,7.541,9.031,-37.759,103.028,8.766,1784.562,0,
4/01/1980 9:15:34 PM,0.170,23.161,0.531,1.033,1076.9,997.905,0.000,2.382,2.382,8.801,9.029,-37.454,103.014,8.768,1777.055,0,
4/01/1980 9:15:34 PM,0.185,23.157,0.531,1.034,1077.2,997.906,0.000,2.322,2.322,8.445,9.028,-37.378,102.987,8.765,1771.425,0,
4/01/1980 9:15:34 PM,0.208,23.166,0.531,1.033,1076.4,997.904,0.000,2.367,2.367,7.141,9.027,-37.187,102.942,8.761,1660.881,0,
4/01/1980 9:15:34 PM,0.231,23.160,0.530,1.033,1076.3,997.906,0.000,2.352,2.352,7.600,9.026,-37.111,103.042,8.771,1255.115,0,
4/01/1980 9:15:35 PM,0.260,23.146,0.530,1.032,1076.1,997.909,0.000,2.292,2.292,7.778,9.026,-36.996,102.964,8.764,1241.039,0,
4/01/1980 9:15:35 PM,0.306,23.136,0.530,1.032,1075.7,997.911,0.000,2.427,2.427,7.793,9.025,-36.729,103.008,8.768,954.169,0,
4/01/1980 9:15:35 PM,0.353,23.114,0.530,1.031,1076.0,997.917,0.000,2.547,2.547,7.600,9.025,-36.462,103.054,8.776,1063.962,0,
4/01/1980 9:15:35 PM,0.395,23.100,0.530,1.031,1076.4,997.921,0.000,2.569,2.569,8.386,9.023,-36.081,103.037,8.776,1479.863,0,
4/01/1980 9:15:35 PM,0.434,23.091,0.530,1.031,1076.3,997.923,0.000,2.524,2.524,8.267,9.022,-35.852,102.918,8.769,953.887,0,
4/01/1980 9:15:36 PM,0.462,23.076,0.531,1.031,1076.9,997.927,0.000,2.487,2.487,7.452,9.020,-35.585,103.021,8.779,860.610,0,
4/01/1980 9:15:36 PM,0.478,23.068,0.531,1.031,1077.2,997.929,0.000,2.569,2.569,7.037,9.018,-35.242,103.074,8.786,878.158,0,
4/01/1980 9:15:36 PM,0.497,23.065,0.531,1.031,1077.3,997.930,0.000,2.629,2.629,7.467,9.016,-34.822,103.055,8.784,1015.916,0,
4/01/1980 9:15:36 PM,0.529,23.064,0.531,1.031,1076.6,997.930,0.000,2.494,2.494,6.178,9.014,-34.708,103.049,8.784,887.167,0,
4/01/1980 9:15:36 PM,0.566,23.061,0.530,1.030,1075.9,997.931,0.000,2.472,2.472,7.556,9.012,-34.555,103.033,8.784,778.124,0,
4/01/1980 9:15:37 PM,0.600,23.015,0.530,1.029,1076.5,997.942,0.000,2.629,2.629,7.141,9.010,-34.288,103.141,8.795,897.959,0,
4/01/1980 9:15:37 PM,0.634,22.967,0.530,1.029,1076.8,997.953,0.000,2.472,2.472,6.963,9.008,-33.983,103.015,8.792,855.918,0,
4/01/1980 9:15:37 PM,0.671,22.940,0.530,1.028,1076.4,997.960,0.000,2.434,2.434,7.067,9.006,-33.716,103.047,8.800,776.811,0,
4/01/1980 9:15:37 PM,0.701,22.935,0.531,1.028,1077.0,997.961,0.000,2.502,2.502,7.319,9.004,-33.525,103.021,8.802,740.307,0,
4/01/1980 9:15:37 PM,0.745,22.911,0.530,1.027,1076.4,997.967,0.000,2.502,2.502,6.963,9.002,-33.297,103.024,8.805,658.666,0,
4/01/1980 9:15:38 PM,0.789,22.878,0.530,1.026,1075.9,997.975,0.000,2.584,2.584,6.519,9.001,-33.297,103.021,8.808,681.469,0,
4/01/1980 9:15:38 PM,0.841,22.860,0.530,1.025,1076.1,997.979,0.000,2.637,2.637,6.771,9.001,-33.144,102.982,8.809,615.124,0,
4/01/1980 9:15:38 PM,0.871,22.851,0.530,1.026,1076.8,997.982,0.000,2.756,2.756,6.845,9.000,-32.953,102.945,8.808,505.800,0,
4/01/1980 9:15:38 PM,0.883,22.844,0.530,1.025,1076.4,997.983,0.000,2.637,2.637,6.771,8.999,-32.686,103.079,8.822,561.353,0,
4/01/1980 9:15:38 PM,0.890,22.846,0.530,1.026,1076.6,997.983,0.000,2.786,2.786,6.726,8.999,-32.648,103.115,8.825,509.366,0,
4/01/1980 9:15:39 PM,0.907,22.845,0.530,1.026,1076.8,997.983,0.000,2.674,2.674,6.786,8.999,-32.610,103.157,8.829,603.769,0,
4/01/1980 9:15:39 PM,0.936,22.840,0.530,1.025,1076.7,997.985,0.000,2.764,2.764,6.697,8.999,-32.534,103.176,8.832,548.028,0,
4/01/1980 9:15:39 PM,0.967,22.831,0.530,1.026,1077.0,997.987,0.000,2.906,2.906,6.282,8.999,-32.534,103.246,8.839,573.740,0,
4/01/1980 9:15:39 PM,0.995,22.814,0.531,1.026,1077.5,997.991,0.000,2.629,2.629,5.927,9.000,-32.343,103.081,8.827,577.494,0,
4/01/1980 9:15:39 PM,1.020,22.800,0.531,1.026,1078.2,997.995,0.000,2.547,2.547,6.252,9.000,-32.343,103.074,8.829,507.770,0,
4/01/1980 9:15:40 PM,1.047,22.790,0.531,1.026,1078.5,997.998,0.000,2.652,2.652,6.741,9.000,-32.191,102.972,8.823,522.409,0,
4/01/1980 9:15:40 PM,1.077,22.774,0.531,1.025,1078.2,998.001,0.000,2.734,2.734,6.430,9.000,-31.885,102.842,8.814,475.489,0,
4/01/1980 9:15:40 PM,1.120,22.761,0.531,1.025,1077.9,998.004,0.000,2.614,2.614,6.267,8.999,-31.733,102.713,8.804,468.639,0,
4/01/1980 9:15:40 PM,1.171,22.747,0.531,1.024,1077.8,998.008,0.000,2.951,2.951,6.652,8.999,-31.542,102.615,8.798,454.187,0,
4/01/1980 9:15:40 PM,1.225,22.729,0.531,1.024,1077.8,998.012,0.000,2.989,2.989,6.430,8.998,-31.466,102.446,8.788,388.781,0,
4/01/1980 9:15:41 PM,1.297,22.705,0.531,1.024,1078.0,998.018,0.000,3.790,3.790,7.778,8.996,-31.161,102.248,8.774,355.937,0,
4/01/1980 9:15:41 PM,1.335,22.683,0.531,1.023,1078.2,998.024,0.000,4.284,4.284,8.208,8.995,-30.856,101.986,8.755,374.235,0,
4/01/1980 9:15:41 PM,1.354,22.651,0.531,1.024,1079.5,998.032,0.000,20.074,20.074,38.108,8.993,-30.474,101.945,8.757,373.672,0,
4/01/1980 9:15:41 PM,1.362,22.641,0.531,1.023,1078.9,998.034,0.000,7.760,7.760,15.264,8.991,-30.284,101.890,8.757,376.018,0,
4/01/1980 9:15:41 PM,1.370,22.641,0.531,1.023,1078.5,998.034,0.000,4.314,4.314,8.935,8.990,-30.360,101.856,8.754,342.330,0,
4/01/1980 9:15:42 PM,1.383,22.619,0.531,1.022,1079.0,998.039,0.000,3.513,3.513,6.756,8.990,-30.245,101.954,8.765,350.963,0,
4/01/1980 9:15:42 PM,1.398,22.606,0.531,1.022,1079.3,998.043,0.000,3.378,3.378,6.563,8.988,-30.017,101.989,8.772,325.063,0,
4/01/1980 9:15:42 PM,1.421,22.596,0.531,1.023,1079.6,998.045,0.000,3.700,3.700,7.600,8.987,-29.864,101.999,8.776,326.658,0,
4/01/1980 9:15:42 PM,1.461,22.558,0.531,1.021,1079.3,998.054,0.000,6.734,6.734,11.458,8.986,-29.826,101.900,8.770,314.647,0,
4/01/1980 9:15:43 PM,1.507,22.502,0.531,1.020,1079.3,998.067,0.000,19.040,19.040,23.215,8.985,-29.750,101.788,8.767,291.468,0,
4/01/1980 9:15:43 PM,1.561,22.469,0.531,1.020,1079.7,998.075,0.000,25.182,25.182,24.725,8.985,-29.711,101.681,8.764,270.729,0,
4/01/1980 9:15:43 PM,1.612,22.443,0.531,1.019,1079.9,998.082,0.000,15.655,15.655,29.445,8.983,-29.597,101.543,8.758,275.985,0,
4/01/1980 9:15:43 PM,1.660,22.413,0.532,1.019,1080.5,998.089,0.000,25.699,25.699,67.731,8.982,-29.483,101.231,8.737,253.463,0,
4/01/1980 9:15:43 PM,1.702,22.369,0.532,1.019,1082.0,998.100,0.000,26.163,26.163,107.725,8.980,-29.521,101.000,8.723,242.859,0,
4/01/1980 9:15:44 PM,1.723,22.340,0.533,1.019,1082.6,998.107,0.000,22.643,22.643,86.738,8.979,-29.521,100.604,8.693,226.906,0,
4/01/1980 9:15:44 PM,1.733,22.328,0.532,1.018,1081.4,998.109,0.000,14.239,14.239,41.140,8.976,-29.711,100.209,8.660,219.774,0,
4/01/1980 9:15:44 PM,1.738,22.331,0.532,1.018,1081.8,998.109,0.000,9.528,9.528,26.237,8.975,-29.864,99.919,8.632,223.059,0,
4/01/1980 9:15:44 PM,1.758,22.332,0.532,1.018,1081.7,998.109,0.000,8.359,8.359,19.675,8.974,-30.055,99.566,8.603,217.334,0,
4/01/1980 9:15:44 PM,1.796,22.338,0.532,1.018,1080.9,998.107,0.000,9.610,9.610,24.980,8.973,-30.169,99.330,8.586,212.924,0,
4/01/1980 9:15:45 PM,1.832,22.304,0.532,1.018,1082.0,998.116,0.000,10.007,10.007,29.595,8.972,-30.322,99.143,8.575,205.041,0,
4/01/1980 9:15:45 PM,1.868,22.264,0.533,1.018,1082.9,998.125,0.000,10.674,10.674,37.655,8.971,-30.436,98.646,8.537,193.030,0,
4/01/1980 9:15:45 PM,1.908,22.243,0.533,1.018,1083.3,998.130,0.000,12.044,12.044,36.842,8.970,-30.551,98.233,8.503,180.643,0,
4/01/1980 9:15:45 PM,1.950,22.234,0.533,1.018,1083.4,998.133,0.000,13.572,13.572,42.334,8.968,-30.589,97.841,8.472,173.135,0,
4/01/1980 9:15:45 PM,1.989,22.232,0.533,1.018,1083.6,998.133,0.000,15.482,15.482,49.238,8.965,-30.779,97.243,8.425,168.819,0,
4/01/1980 9:15:46 PM,2.012,22.216,0.533,1.018,1084.4,998.137,0.000,19.078,19.078,54.174,8.963,-31.046,96.596,8.370,161.875,0,
4/01/1980 9:15:46 PM,2.025,22.198,0.533,1.017,1084.1,998.141,0.000,20.576,20.576,52.943,8.961,-31.351,95.849,8.305,158.496,0,
4/01/1980 9:15:46 PM,2.034,22.199,0.533,1.017,1084.3,998.141,0.000,21.901,21.901,54.813,8.958,-31.771,95.366,8.262,152.397,0,
4/01/1980 9:15:46 PM,2.052,22.194,0.533,1.017,1084.4,998.143,0.000,17.632,17.632,40.280,8.956,-32.191,94.593,8.196,149.019,0,
4/01/1980 9:15:46 PM,2.080,22.181,0.534,1.018,1085.2,998.146,0.000,18.081,18.081,41.307,8.954,-32.648,93.911,8.137,145.734,0,
4/01/1980 9:15:47 PM,2.115,22.168,0.534,1.018,1085.3,998.149,0.000,18.471,18.471,42.394,8.952,-33.106,93.280,8.083,139.728,0,
4/01/1980 9:15:47 PM,2.151,22.155,0.534,1.018,1085.6,998.152,0.000,21.032,21.032,54.463,8.950,-33.602,92.841,8.048,136.444,0,
4/01/1980 9:15:47 PM,2.229,22.143,0.534,1.017,1085.5,998.155,0.000,27.766,27.766,67.946,8.947,-34.288,92.038,7.981,120.679,0,
4/01/1980 9:15:47 PM,2.289,22.139,0.534,1.018,1085.9,998.157,0.000,26.995,26.995,50.315,8.944,-34.746,91.552,7.940,107.541,0,
4/01/1980 9:15:47 PM,2.338,22.132,0.534,1.018,1086.2,998.159,0.000,28.193,28.193,47.631,8.941,-35.280,90.753,7.871,98.251,0,
4/01/1980 9:15:48 PM,2.371,22.131,0.534,1.018,1086.6,998.159,0.000,23.587,23.587,38.575,8.938,-35.928,90.042,7.810,95.154,0,
4/01/1980 9:15:48 PM,2.380,22.133,0.534,1.018,1086.6,998.159,0.000,23.549,23.549,39.797,8.934,-36.653,89.297,7.745,101.817,0,
4/01/1980 9:15:48 PM,2.361,22.138,0.535,1.018,1086.7,998.158,0.000,22.081,22.081,37.309,8.932,-37.568,88.390,7.667,106.603,0,
4/01/1980 9:15:48 PM,2.331,22.142,0.535,1.018,1086.7,998.157,0.000,13.632,13.632,18.884,8.929,-38.598,87.497,7.589,114.016,0,
4/01/1980 9:15:48 PM,2.319,22.143,0.534,1.018,1086.2,998.156,0.000,6.621,6.621,9.039,8.927,-39.857,86.586,7.510,123.119,0,
4/01/1980 9:15:49 PM,2.355,22.138,0.534,1.018,1086.4,998.158,0.000,5.048,5.048,8.119,8.924,-41.115,85.838,7.445,124.902,0,
4/01/1980 9:15:49 PM,2.422,22.132,0.534,1.018,1086.4,998.159,0.000,5.925,5.925,15.755,8.922,-42.107,85.012,7.374,119.083,0,

