// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:1980/01/04 21:15:27
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=8

PreHeat=1000
Interval=200
SampleCnt=826

StartTime=1980/01/04 21:15:27
EndTime=1980/01/04 21:18:14

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.032
StartDepthA=0.0888988958768629
StartDepthB=0.0864734650778215

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [�S/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [�g/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [�mol/(m2*s)],Mark,
4/01/1980 9:15:27 PM,0.094,23.176,0.531,1.034,1076.8,997.901,0.000,2.524,2.524,7.571,9.033,-42.793,103.065,8.766,1803.894,0,
4/01/1980 9:15:27 PM,0.097,23.176,0.531,1.034,1076.8,997.901,0.000,2.517,2.517,7.452,9.033,-42.717,102.951,8.757,1798.639,0,
4/01/1980 9:15:27 PM,0.099,23.177,0.531,1.034,1076.8,997.901,0.000,2.374,2.374,7.452,9.034,-42.603,102.971,8.758,1785.595,0,
4/01/1980 9:15:27 PM,0.099,23.176,0.531,1.033,1076.5,997.901,0.000,2.472,2.472,9.142,9.035,-42.679,102.960,8.758,1775.272,0,
4/01/1980 9:15:28 PM,0.099,23.177,0.531,1.034,1076.8,997.901,0.000,2.457,2.457,7.615,9.036,-42.488,102.881,8.751,1765.325,0,
4/01/1980 9:15:28 PM,0.101,23.177,0.531,1.033,1076.7,997.901,0.000,2.449,2.449,7.037,9.036,-42.336,102.978,8.760,1762.228,0,
4/01/1980 9:15:28 PM,0.105,23.176,0.531,1.033,1076.4,997.901,0.000,2.337,2.337,7.956,9.037,-42.145,102.962,8.759,1773.020,0,
4/01/1980 9:15:28 PM,0.105,23.175,0.531,1.033,1076.4,997.902,0.000,2.314,2.314,8.371,9.037,-41.993,102.974,8.760,1779.401,0,
4/01/1980 9:15:29 PM,0.107,23.173,0.531,1.033,1076.7,997.902,0.000,2.502,2.502,7.645,9.037,-41.802,102.941,8.758,1798.732,0,
4/01/1980 9:15:29 PM,0.107,23.173,0.531,1.033,1076.6,997.902,0.000,2.667,2.667,7.734,9.037,-41.611,102.962,8.759,1809.149,0,
4/01/1980 9:15:29 PM,0.107,23.174,0.531,1.033,1076.7,997.902,0.000,2.584,2.584,7.986,9.038,-41.573,102.972,8.759,1812.715,0,
4/01/1980 9:15:29 PM,0.107,23.176,0.531,1.034,1076.9,997.902,0.000,2.457,2.457,8.519,9.037,-41.306,102.905,8.754,1795.917,0,
4/01/1980 9:15:29 PM,0.109,23.176,0.531,1.033,1076.5,997.901,0.000,2.524,2.524,7.719,9.037,-41.115,103.041,8.765,1785.689,0,
4/01/1980 9:15:30 PM,0.109,23.177,0.531,1.033,1076.5,997.901,0.000,2.599,2.599,8.282,9.036,-40.925,102.941,8.756,1779.495,0,
4/01/1980 9:15:30 PM,0.107,23.177,0.531,1.033,1076.7,997.901,0.000,2.569,2.569,9.246,9.036,-40.886,102.958,8.757,1772.551,0,
4/01/1980 9:15:30 PM,0.109,23.177,0.530,1.033,1076.3,997.901,0.000,2.464,2.464,8.445,9.036,-40.696,103.074,8.769,1775.178,0,
4/01/1980 9:15:30 PM,0.109,23.175,0.531,1.033,1076.5,997.901,0.000,2.562,2.562,8.757,9.036,-40.467,103.036,8.765,1770.111,0,
4/01/1980 9:15:30 PM,0.111,23.175,0.531,1.033,1076.6,997.902,0.000,2.434,2.434,7.586,9.036,-40.314,102.905,8.754,1754.346,0,
