Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [�S/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [�g/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [�mol/(m2*s)],Depth [m],,,
4/1/1980 21:07,0.135,23.228,0.532,1.037,1079.1,997.89,0,2.412,2.412,9.024,8.989,-18.117,102.937,8.749,1669.796,0.135,,,
4/1/1980 21:07,0.139,23.227,0.532,1.037,1079.1,997.89,0,2.427,2.427,7.882,8.989,-17.926,102.928,8.749,1682.464,0.139,,,
4/1/1980 21:07,0.154,23.238,0.532,1.037,1079.1,997.888,0,2.27,2.27,7.571,8.988,-17.964,102.932,8.75,1693.068,0.154,,,
4/1/1980 21:07,0.167,23.244,0.532,1.037,1079.2,997.886,0,2.24,2.24,7.763,8.988,-17.659,102.997,8.754,1724.035,0.167,,,
4/1/1980 21:07,0.187,23.241,0.532,1.037,1079,997.887,0,2.262,2.262,8.475,8.987,-17.583,102.994,8.753,1706.112,0.187,,,
4/1/1980 21:07,0.204,23.239,0.532,1.037,1079.3,997.888,0,2.314,2.314,8.193,8.987,-17.24,102.938,8.748,1360.967,0.204,,,
4/1/1980 21:07,0.225,23.237,0.532,1.037,1078.8,997.888,0,2.337,2.337,7.941,8.985,-17.049,103.016,8.755,1344.92,0.225,,,
4/1/1980 21:07,0.25,23.227,0.532,1.037,1078.8,997.891,0,2.344,2.344,7.097,8.985,-16.935,103.064,8.759,1316.205,0.25,,,
4/1/1980 21:07,0.294,23.202,0.531,1.035,1078,997.897,0,2.367,2.367,7.156,8.983,-16.629,102.956,8.753,1101.029,0.294,,,
4/1/1980 21:07,0.33,23.194,0.531,1.035,1077.8,997.899,0,2.494,2.494,7.571,8.983,-16.515,102.948,8.754,1160.336,0.33,,,
4/1/1980 21:07,0.366,23.193,0.531,1.035,1077.9,997.899,0,2.524,2.524,7.512,8.982,-16.286,103.01,8.76,746.876,0.366,,,
4/1/1980 21:07,0.395,23.192,0.531,1.035,1077.9,997.899,0,2.464,2.464,6.8,8.981,-16.057,102.942,8.755,1153.674,0.395,,,
4/1/1980 21:07,0.423,23.188,0.531,1.035,1077.9,997.9,0,2.464,2.464,7.274,8.98,-15.905,102.982,8.759,932.867,0.423,,,
4/1/1980 21:07,0.456,23.182,0.531,1.035,1077.9,997.902,0,2.577,2.577,7.334,8.979,-15.752,102.967,8.758,849.255,0.456,,,
4/1/1980 21:07,0.488,23.172,0.531,1.035,1078,997.905,0,2.419,2.419,7.171,8.978,-15.561,102.957,8.759,733.644,0.488,,,
