time,flow,temp,salt,TRC_tr1,TRC_age,OXY_oxy
2001-01-11,0.021345154,20.53806172,2.232709258,0,0,30
2001-01-12,0.021399563,20.55982504,2.235973757,0,0,30
2001-01-13,0.021452817,20.58112679,2.239169019,0,0,30
2001-01-14,0.021504902,20.60196066,2.242294099,0,0,30
2001-01-15,0.021555801,20.62232048,2.245348073,0,0,30
2001-01-16,0.021605501,20.64220024,2.248330035,0,0,30
2001-01-17,0.021653985,20.66159403,2.251239105,0,0,30
2001-01-18,0.02170124,20.68049614,2.254074421,0,0,30
2001-01-19,0.021747252,20.69890096,2.256835144,0,0,30
2001-01-20,0.021792008,20.71680305,2.259520457,0,0,30
2001-01-21,0.021835493,20.7341971,2.262129566,0,0,30
2001-01-22,0.021877695,20.75107799,2.264661698,0,0,30
2001-01-23,0.021918602,20.76744069,2.267116104,0,0,30
2001-01-24,0.021958201,20.78328039,2.269492058,0,0,30
2001-01-25,0.021996481,20.79859238,2.271788857,0,0,30
2001-01-26,0.02203343,20.81337214,2.274005822,0,0,30
2001-01-27,0.022069038,20.8276153,2.276142295,0,0,30
2001-01-28,0.022103294,20.84131763,2.278197645,0,0,30
2001-01-29,0.022136188,20.85447509,2.280171264,0,0,30
2001-01-30,0.022167709,20.86708378,2.282062567,0,0,30
2001-01-31,0.02219785,20.87913997,2.283870996,0,0,30
2001-02-01,0.022210672,20.88426874,2.284640311,0,0,30
2001-02-02,0.022238808,20.8955231,2.286328465,0,0,30
2001-02-03,0.022265541,20.90621655,2.287932483,0,0,30
2001-02-04,0.022290865,20.91634592,2.289451888,0,0,30
2001-02-05,0.022314771,20.92590821,2.290886231,0,0,30
2001-02-06,0.022337251,20.93490059,2.292235089,0,0,30
2001-02-07,0.022358301,20.94332041,2.293498061,0,0,30
2001-02-08,0.022377913,20.95116516,2.294674775,0,0,30
2001-02-09,0.022396081,20.95843254,2.295764881,0,0,30
2001-02-10,0.022412801,20.96512038,2.296768057,0,0,30
2001-02-11,0.022428067,20.97122671,2.297684007,0,0,30
2001-02-12,0.022441874,20.97674973,2.298512459,0,0,30
2001-02-13,0.022454219,20.98168779,2.299253168,0,0,30
2001-02-14,0.022465099,20.98603944,2.299905916,0,0,30
2001-02-15,0.022474508,20.98980339,2.300470508,0,0,30
2001-02-16,0.022482446,20.99297852,2.300946778,0,0,30
2001-02-17,0.02248891,20.9955639,2.301334585,0,0,30
2001-02-18,0.022493897,20.99755876,2.301633814,0,0,30
2001-02-19,0.022497406,20.99896251,2.301844376,0,0,30
